trade_id,market,seed,system,query_ticker,decision_date,execution_date,neighbor_rank,neighbor_market,neighbor_ticker,neighbor_date,cosine_similarity,normalized_weight,realized_return_63d,realized_drawdown_63d,clean_normalized_weight,clean_neighbor_rank
TRD_Brazil_17_P3_001,Brazil,17,P3,RAIL3.SA,2024-01-02,2024-01-03,6,UK,EXPN.L,2015-09-30,0.8427,0.064,0.155,-0.0388,0.08,1
TRD_Brazil_17_P3_001,Brazil,17,P3,RAIL3.SA,2024-01-02,2024-01-03,7,UK,HLMA.L,2015-10-19,0.8412,0.0615,0.1094,-0.0082,0.076875,2
TRD_Brazil_17_P3_001,Brazil,17,P3,RAIL3.SA,2024-01-02,2024-01-03,8,UK,JD.L,2015-11-05,0.8398,0.0589,0.1436,-0.0279,0.07362500000000001,3
TRD_Brazil_17_P3_001,Brazil,17,P3,RAIL3.SA,2024-01-02,2024-01-03,9,UK,LSEG.L,2015-11-24,0.8383,0.0564,-0.0171,-0.1914,0.07050000000000001,4
TRD_Brazil_17_P3_001,Brazil,17,P3,RAIL3.SA,2024-01-02,2024-01-03,10,UK,OCDO.L,2015-12-11,0.8369,0.0539,-0.1928,-0.3002,0.067375,5
TRD_Brazil_17_P3_001,Brazil,17,P3,RAIL3.SA,2024-01-02,2024-01-03,11,UK,PRU.L,2016-01-04,0.8354,0.0514,-0.1143,-0.2556,0.06425,6
TRD_Brazil_17_P3_001,Brazil,17,P3,RAIL3.SA,2024-01-02,2024-01-03,12,UK,REL.L,2016-01-21,0.834,0.0488,0.1012,-0.0236,0.061000000000000006,7
TRD_Brazil_17_P3_001,Brazil,17,P3,RAIL3.SA,2024-01-02,2024-01-03,13,UK,RMV.L,2016-02-09,0.8325,0.0463,0.1563,-0.0458,0.057875,8
TRD_Brazil_17_P3_001,Brazil,17,P3,RAIL3.SA,2024-01-02,2024-01-03,14,UK,RTO.L,2016-02-26,0.831,0.0438,0.0671,-0.0557,0.05475,9
TRD_Brazil_17_P3_001,Brazil,17,P3,RAIL3.SA,2024-01-02,2024-01-03,15,UK,SGE.L,2016-03-16,0.8296,0.0413,-0.0198,-0.0398,0.05162500000000001,10
TRD_Brazil_17_P3_001,Brazil,17,P3,RAIL3.SA,2024-01-02,2024-01-03,16,UK,SPX.L,2016-04-06,0.8281,0.0387,0.047,-0.0887,0.048375,11
TRD_Brazil_17_P3_001,Brazil,17,P3,RAIL3.SA,2024-01-02,2024-01-03,17,US,AAPL,2016-04-29,0.8267,0.0362,0.1185,-0.0397,0.045250000000000005,12
TRD_Brazil_17_P3_001,Brazil,17,P3,RAIL3.SA,2024-01-02,2024-01-03,18,US,ADBE,2016-05-18,0.8252,0.0337,0.031,-0.0657,0.042125,13
TRD_Brazil_17_P3_001,Brazil,17,P3,RAIL3.SA,2024-01-02,2024-01-03,19,US,AMD,2016-06-07,0.8237,0.0312,0.6275,-0.0466,0.039,14
TRD_Brazil_17_P3_001,Brazil,17,P3,RAIL3.SA,2024-01-02,2024-01-03,20,US,AMGN,2016-06-24,0.8223,0.0286,0.2005,-0.018,0.035750000000000004,15
TRD_Brazil_17_P3_001,Brazil,17,P3,RAIL3.SA,2024-01-02,2024-01-03,21,US,AMZN,2016-07-14,0.8208,0.0261,0.1253,-0.0168,0.03262500000000001,16
TRD_Brazil_17_P3_001,Brazil,17,P3,RAIL3.SA,2024-01-02,2024-01-03,22,US,AVGO,2016-08-02,0.8194,0.0236,0.0485,-0.0254,0.029500000000000002,17
TRD_Brazil_17_P3_001,Brazil,17,P3,RAIL3.SA,2024-01-02,2024-01-03,23,US,CRM,2016-08-19,0.8179,0.0211,-0.0296,-0.1382,0.026375000000000003,18
TRD_Brazil_17_P3_001,Brazil,17,P3,RAIL3.SA,2024-01-02,2024-01-03,24,US,GOOGL,2016-09-08,0.8165,0.0185,-0.0142,-0.0738,0.023125,19
TRD_Brazil_17_P3_001,Brazil,17,P3,RAIL3.SA,2024-01-02,2024-01-03,25,US,INTU,2016-09-27,0.815,0.016,0.065,-0.0597,0.02,20
