decision_date,execution_date,market,seed,candidate_ticker,pred_utility,volatility_21d,baseline_mu,baseline_cvar,baseline_score,occlusion_score,shuffling_score,uniform_score,random_score,top_neighbor_1,top_weight_1,top_neighbor_2,top_weight_2,top_neighbor_3,top_weight_3
2024-01-02,2024-01-03,US,7,AAPL,0.0317,0.0119,-0.0076,-0.1449,-0.2777,-0.019,-0.2777,-0.2709,3.2919,US:V,0.0406,US:V,0.0405,US:V,0.0403
2024-01-02,2024-01-03,US,7,ADBE,-0.1878,0.0193,-0.1561,-0.2575,-18.7491,-18.6138,-18.7491,-18.7457,-8.3769,US:AMZN,0.0421,US:AMZN,0.0421,US:AMZN,0.0415
2024-01-02,2024-01-03,US,7,AMD,-0.1036,0.0311,-0.0838,-0.2603,-7.1316,-7.6554,-1.4856,-7.1536,-2.648,US:CRM,0.0438,US:CRM,0.0422,US:CRM,0.0414
2024-01-02,2024-01-03,US,7,AMGN,0.0252,0.0125,-0.0107,-0.0716,0.1865,0.7241,-2.6629,0.1911,2.0928,US:ORCL,0.0404,US:ORCL,0.0404,US:ORCL,0.0402
2024-01-02,2024-01-03,US,7,AMZN,-0.0771,0.0121,-0.0827,-0.1649,-14.4355,-14.6401,-8.1904,-14.4484,-5.97,US:GOOGL,0.0413,US:V,0.0405,US:V,0.0405
2024-01-02,2024-01-03,US,7,AVGO,-0.0705,0.0253,-0.044,-0.1175,-5.0944,-5.3881,0.5901,-5.1151,-1.9215,US:META,0.0423,US:META,0.0423,US:META,0.0418
2024-01-02,2024-01-03,US,7,CRM,0.0075,0.0157,-0.0494,-0.1528,-3.9659,-3.8815,1.5159,-3.9642,-0.0249,US:NOC,0.0406,US:NOC,0.0404,US:ISRG,0.0404
2024-01-02,2024-01-03,US,7,GOOGL,-0.0887,0.0159,-0.1757,-0.2957,-17.9953,-17.6207,3.5087,-17.9969,-4.4513,US:CRM,0.0407,US:CRM,0.0405,US:CRM,0.0405
2024-01-02,2024-01-03,US,7,INTU,0.0567,0.0134,0.0001,-0.0985,2.7512,2.7512,2.0634,2.7512,2.3385,US:GOOGL,0.041,US:GOOGL,0.041,US:GOOGL,0.04
2024-01-02,2024-01-03,US,7,ISRG,-0.0194,0.0144,-0.0298,-0.1623,-5.2124,-5.7353,-9.5336,-5.2199,-1.2449,US:AVGO,0.0407,US:AVGO,0.0405,US:AVGO,0.0405
2024-01-02,2024-01-03,US,7,LMT,0.0442,0.0071,0.0467,-0.0033,11.1849,11.3438,-1.6813,11.1781,13.7167,US:CRM,0.0405,US:CRM,0.0404,US:CRM,0.0404
2024-01-02,2024-01-03,US,7,META,-0.1966,0.0153,-0.2306,-0.3542,-29.4099,-30.0374,-14.7656,-29.4282,-12.505,US:AMD,0.0438,US:AMD,0.042,US:AMD,0.0417
2024-01-02,2024-01-03,US,7,MSFT,-0.0952,0.0094,-0.097,-0.211,-22.538,-22.6892,-20.3703,-22.5367,-11.8733,US:ADBE,0.0405,US:CRM,0.0405,US:CRM,0.0402
2024-01-02,2024-01-03,US,7,NOC,0.0808,0.012,0.1083,0.0058,13.7484,13.7539,-3.2216,13.7437,8.7137,US:ORCL,0.0404,US:ORCL,0.0403,US:ORCL,0.0403
2024-01-02,2024-01-03,US,7,NVDA,0.046,0.0181,0.1,-0.0423,6.469,5.3261,-8.4573,6.3008,2.0188,US:AMD,0.0432,US:AMD,0.0432,US:AMD,0.0428
2024-01-02,2024-01-03,US,7,ORCL,0.1504,0.0312,0.1447,0.0791,8.0016,7.99,6.0012,8.0016,6.8014,US:AMZN,0.04,US:AMZN,0.04,US:AMZN,0.04
2024-01-02,2024-01-03,US,7,REGN,0.0713,0.0134,0.0589,0.0161,8.5697,8.565,6.4273,8.5697,7.2842,US:V,0.04,US:V,0.04,US:MSFT,0.04
2024-01-02,2024-01-03,US,7,V,-0.0239,0.0067,-0.015,-0.0914,-7.92,-8.561,-13.7317,-7.9434,-0.3607,US:LMT,0.0403,US:LMT,0.0403,US:LMT,0.0402
