trade_id,market,seed,system,ticker,signal_date,entry_date,exit_date,holding_days,exit_reason,entry_price,exit_price,shares,entry_fee,exit_fee,gross_pnl,realized_pnl,return_pct,win
TRD_US_7_P0_001,US,7,P0,REGN,2024-04-03,2024-01-03,2024-04-04,63,max_horizon,898.32,953.2,35,31.44,33.36,1920.87,1856.07,0.059,1
TRD_US_7_P0_002,US,7,P0,ORCL,2024-04-03,2024-01-03,2024-04-04,63,max_horizon,100.08,124.1,316,31.63,39.22,7590.93,7520.09,0.2375,1
TRD_US_7_P0_003,US,7,P0,INTU,2024-04-03,2024-01-03,2024-04-04,63,max_horizon,584.62,620.99,54,31.57,33.53,1963.97,1898.86,0.0601,1
TRD_US_7_P0_004,US,7,P0,AAPL,2024-07-03,2024-04-04,2024-07-05,63,max_horizon,168.45,219.56,206,34.7,45.23,10527.32,10447.39,0.3008,1
TRD_US_7_P0_005,US,7,P0,V,2024-07-03,2024-04-04,2024-07-05,63,max_horizon,273.17,264.47,127,34.69,33.59,-1104.51,-1172.79,-0.0338,0
TRD_US_7_P0_006,US,7,P0,AMGN,2024-07-03,2024-04-04,2024-07-05,63,max_horizon,256.29,290.82,135,34.6,39.26,4661.17,4587.31,0.1325,1
TRD_US_7_P0_008,US,7,P0,NVDA,2024-07-17,2024-07-05,2024-07-18,9,atr_chandelier_stop,127.17,121.65,311,39.55,37.83,-1717.0,-1794.38,-0.0453,0
TRD_US_7_P0_010,US,7,P0,ORCL,2024-08-05,2024-07-18,2024-08-06,13,atr_chandelier_stop,136.36,127.73,281,38.32,35.89,-2425.12,-2499.33,-0.0652,0
TRD_US_7_P0_007,US,7,P0,LMT,2024-10-02,2024-07-05,2024-10-03,63,max_horizon,441.13,576.64,89,39.26,51.32,12059.96,11969.38,0.3046,1
TRD_US_7_P0_009,US,7,P0,CRM,2024-10-02,2024-07-05,2024-10-03,63,max_horizon,258.59,275.46,153,39.56,42.15,2581.63,2499.92,0.0631,1
TRD_US_7_P0_011,US,7,P0,ORCL,2024-11-01,2024-08-06,2024-11-04,63,max_horizon,127.73,167.02,305,38.96,50.94,11983.26,11893.36,0.305,1
TRD_US_7_P0_014,US,7,P0,LMT,2024-12-09,2024-11-04,2024-12-10,25,atr_chandelier_stop,520.6,488.79,89,46.33,43.5,-2831.32,-2921.15,-0.063,0
TRD_US_7_P0_012,US,7,P0,ADBE,2024-12-12,2024-10-03,2024-12-13,50,atr_chandelier_stop,501.02,473.98,92,46.09,43.61,-2487.68,-2577.38,-0.0559,0
TRD_US_7_P0_015,US,7,P0,REGN,2024-12-20,2024-12-10,2024-12-23,9,atr_chandelier_stop,776.77,701.76,62,48.16,43.51,-4650.75,-4742.42,-0.0984,0
TRD_US_7_P0_013,US,7,P0,V,2024-12-31,2024-10-03,2024-12-31,61,calendar_end,272.56,311.94,170,46.34,53.03,6694.13,6594.76,0.1422,1
TRD_US_7_P0_016,US,7,P0,LMT,2024-12-31,2024-12-13,2024-12-31,11,calendar_end,475.74,466.5,96,45.67,44.78,-887.49,-977.94,-0.0214,0
TRD_US_7_P0*_001,US,7,P0*,REGN,2024-04-03,2024-01-03,2024-04-04,63,max_horizon,898.32,953.2,35,31.44,33.36,1920.87,1856.07,0.059,1
TRD_US_7_P0*_002,US,7,P0*,ORCL,2024-04-03,2024-01-03,2024-04-04,63,max_horizon,100.08,124.1,316,31.63,39.22,7590.93,7520.09,0.2375,1
TRD_US_7_P0*_003,US,7,P0*,INTU,2024-04-03,2024-01-03,2024-04-04,63,max_horizon,584.62,620.99,54,31.57,33.53,1963.97,1898.86,0.0601,1
TRD_US_7_P0*_004,US,7,P0*,AAPL,2024-07-03,2024-04-04,2024-07-05,63,max_horizon,168.45,219.56,206,34.7,45.23,10527.32,10447.39,0.3008,1
TRD_US_7_P0*_005,US,7,P0*,V,2024-07-03,2024-04-04,2024-07-05,63,max_horizon,273.17,264.47,127,34.69,33.59,-1104.51,-1172.79,-0.0338,0
TRD_US_7_P0*_006,US,7,P0*,AMGN,2024-07-03,2024-04-04,2024-07-05,63,max_horizon,256.29,290.82,135,34.6,39.26,4661.17,4587.31,0.1325,1
TRD_US_7_P0*_008,US,7,P0*,NVDA,2024-07-17,2024-07-05,2024-07-18,9,atr_chandelier_stop,127.17,121.65,311,39.55,37.83,-1717.0,-1794.38,-0.0453,0
TRD_US_7_P0*_010,US,7,P0*,ORCL,2024-08-05,2024-07-18,2024-08-06,13,atr_chandelier_stop,136.36,127.73,286,39.0,36.53,-2468.27,-2543.8,-0.0652,0
TRD_US_7_P0*_007,US,7,P0*,LMT,2024-10-02,2024-07-05,2024-10-03,63,max_horizon,441.13,576.64,89,39.26,51.32,12059.96,11969.38,0.3046,1
TRD_US_7_P0*_009,US,7,P0*,V,2024-10-02,2024-07-05,2024-10-03,63,max_horizon,264.47,272.56,149,39.41,40.61,1204.87,1124.85,0.0285,1
TRD_US_7_P0*_011,US,7,P0*,ORCL,2024-11-01,2024-08-06,2024-11-04,63,max_horizon,127.73,167.02,309,39.47,51.61,12140.41,12049.33,0.305,1
TRD_US_7_P0*_014,US,7,P0*,LMT,2024-12-09,2024-11-04,2024-12-10,25,atr_chandelier_stop,520.6,488.79,89,46.33,43.5,-2831.32,-2921.15,-0.063,0
TRD_US_7_P0*_012,US,7,P0*,ADBE,2024-12-12,2024-10-03,2024-12-13,50,atr_chandelier_stop,501.02,473.98,91,45.59,43.13,-2460.64,-2549.36,-0.0559,0
TRD_US_7_P0*_015,US,7,P0*,REGN,2024-12-20,2024-12-10,2024-12-23,9,atr_chandelier_stop,776.77,701.76,62,48.16,43.51,-4650.75,-4742.42,-0.0984,0
TRD_US_7_P0*_013,US,7,P0*,V,2024-12-31,2024-10-03,2024-12-31,61,calendar_end,272.56,311.94,168,45.79,52.41,6615.37,6517.18,0.1422,1
TRD_US_7_P0*_016,US,7,P0*,LMT,2024-12-31,2024-12-13,2024-12-31,11,calendar_end,475.74,466.5,95,45.2,44.32,-878.24,-967.76,-0.0214,0
TRD_US_7_P0*_017,US,7,P0*,REGN,2024-12-31,2024-12-23,2024-12-31,5,calendar_end,701.76,705.67,63,44.21,44.46,246.52,157.85,0.0036,1
TRD_US_7_P1_001,US,7,P1,REGN,2024-04-03,2024-01-03,2024-04-04,63,max_horizon,898.32,953.2,35,31.44,33.36,1920.87,1856.07,0.059,1
TRD_US_7_P1_002,US,7,P1,ORCL,2024-04-03,2024-01-03,2024-04-04,63,max_horizon,100.08,124.1,316,31.63,39.22,7590.93,7520.09,0.2375,1
TRD_US_7_P1_003,US,7,P1,INTU,2024-04-03,2024-01-03,2024-04-04,63,max_horizon,584.62,620.99,54,31.57,33.53,1963.97,1898.86,0.0601,1
TRD_US_7_P1_004,US,7,P1,AAPL,2024-07-03,2024-04-04,2024-07-05,63,max_horizon,168.45,219.56,206,34.7,45.23,10527.32,10447.39,0.3008,1
TRD_US_7_P1_005,US,7,P1,V,2024-07-03,2024-04-04,2024-07-05,63,max_horizon,273.17,264.47,127,34.69,33.59,-1104.51,-1172.79,-0.0338,0
TRD_US_7_P1_006,US,7,P1,AMGN,2024-07-03,2024-04-04,2024-07-05,63,max_horizon,256.29,290.82,135,34.6,39.26,4661.17,4587.31,0.1325,1
TRD_US_7_P1_008,US,7,P1,NVDA,2024-07-17,2024-07-05,2024-07-18,9,atr_chandelier_stop,127.17,121.65,311,39.55,37.83,-1717.0,-1794.38,-0.0453,0
TRD_US_7_P1_010,US,7,P1,ORCL,2024-08-05,2024-07-18,2024-08-06,13,atr_chandelier_stop,136.36,127.73,286,39.0,36.53,-2468.27,-2543.8,-0.0652,0
TRD_US_7_P1_007,US,7,P1,LMT,2024-10-02,2024-07-05,2024-10-03,63,max_horizon,441.13,576.64,89,39.26,51.32,12059.96,11969.38,0.3046,1
TRD_US_7_P1_009,US,7,P1,V,2024-10-02,2024-07-05,2024-10-03,63,max_horizon,264.47,272.56,149,39.41,40.61,1204.87,1124.85,0.0285,1
TRD_US_7_P1_011,US,7,P1,ORCL,2024-11-01,2024-08-06,2024-11-04,63,max_horizon,127.73,167.02,309,39.47,51.61,12140.41,12049.33,0.305,1
TRD_US_7_P1_014,US,7,P1,LMT,2024-12-09,2024-11-04,2024-12-10,25,atr_chandelier_stop,520.6,488.79,89,46.33,43.5,-2831.32,-2921.15,-0.063,0
TRD_US_7_P1_012,US,7,P1,ADBE,2024-12-12,2024-10-03,2024-12-13,50,atr_chandelier_stop,501.02,473.98,91,45.59,43.13,-2460.64,-2549.36,-0.0559,0
TRD_US_7_P1_015,US,7,P1,REGN,2024-12-20,2024-12-10,2024-12-23,9,atr_chandelier_stop,776.77,701.76,62,48.16,43.51,-4650.75,-4742.42,-0.0984,0
TRD_US_7_P1_013,US,7,P1,V,2024-12-31,2024-10-03,2024-12-31,61,calendar_end,272.56,311.94,168,45.79,52.41,6615.37,6517.18,0.1422,1
TRD_US_7_P1_016,US,7,P1,LMT,2024-12-31,2024-12-13,2024-12-31,11,calendar_end,475.74,466.5,95,45.2,44.32,-878.24,-967.76,-0.0214,0
TRD_US_7_P1_017,US,7,P1,REGN,2024-12-31,2024-12-23,2024-12-31,5,calendar_end,701.76,705.67,63,44.21,44.46,246.52,157.85,0.0036,1
TRD_US_7_P2_001,US,7,P2,REGN,2024-04-03,2024-01-03,2024-04-04,63,max_horizon,898.32,953.2,35,31.44,33.36,1920.87,1856.07,0.059,1
TRD_US_7_P2_002,US,7,P2,ORCL,2024-04-03,2024-01-03,2024-04-04,63,max_horizon,100.08,124.1,316,31.63,39.22,7590.93,7520.09,0.2375,1
TRD_US_7_P2_003,US,7,P2,INTU,2024-04-03,2024-01-03,2024-04-04,63,max_horizon,584.62,620.99,54,31.57,33.53,1963.97,1898.86,0.0601,1
TRD_US_7_P2_004,US,7,P2,AAPL,2024-07-03,2024-04-04,2024-07-05,63,max_horizon,168.45,219.56,206,34.7,45.23,10527.32,10447.39,0.3008,1
TRD_US_7_P2_005,US,7,P2,V,2024-07-03,2024-04-04,2024-07-05,63,max_horizon,273.17,264.47,127,34.69,33.59,-1104.51,-1172.79,-0.0338,0
