job_id,fold_year,architecture,seed,relative_path,sha256,size_bytes,parameter_count,weights_finite,shape_compatible,disposition,notes
fold_2020_MLP_ANNUAL_966_64_128_1_seed7,2020,MLP_ANNUAL_966_64_128_1,7,fold_2020/checkpoints_MLP_ANNUAL_966_64_128_1_seed7/best_checkpoint.pt,b516a625215fb6c2db27a6c3cfb9a3195dab2cc77e15b6b7c58f0c8db2527ac4,875493,70721,True,True,reuse candidate—verification pending,"Trained on numeric (X, y) tensors; uncorrupted parameter weights and optimizer states; verification pending recovery run"
fold_2020_MLP_ANNUAL_966_64_128_1_seed17,2020,MLP_ANNUAL_966_64_128_1,17,fold_2020/checkpoints_MLP_ANNUAL_966_64_128_1_seed17/best_checkpoint.pt,ea98bc879d608d2c8b78caee521a8eb296b2b40b1e05d4a82849731c9206c083,875429,70721,True,True,reuse candidate—verification pending,"Trained on numeric (X, y) tensors; uncorrupted parameter weights and optimizer states; verification pending recovery run"
fold_2020_MLP_ANNUAL_966_64_128_1_seed37,2020,MLP_ANNUAL_966_64_128_1,37,fold_2020/checkpoints_MLP_ANNUAL_966_64_128_1_seed37/best_checkpoint.pt,1412ead386321a83b2392f73463c5d2ef97e97c79bb96a4804115970972cb834,875429,70721,True,True,reuse candidate—verification pending,"Trained on numeric (X, y) tensors; uncorrupted parameter weights and optimizer states; verification pending recovery run"
fold_2020_TRANSFORMER_42x23_WIDTH64_HEADS4_LAYERS2_FF128_LATENT128_seed7,2020,TRANSFORMER_42x23_WIDTH64_HEADS4_LAYERS2_FF128_LATENT128,7,fold_2020/checkpoints_TRANSFORMER_42x23_WIDTH64_HEADS4_LAYERS2_FF128_LATENT128_seed7/best_checkpoint.pt,3e61e9c28da6842b49353ee2a0a765d7d9600ca2d10e7c5c86a5013ad809fccc,993433,77249,True,True,reuse candidate—verification pending,"Trained on numeric (X, y) tensors; uncorrupted parameter weights and optimizer states; verification pending recovery run"
fold_2020_TRANSFORMER_42x23_WIDTH64_HEADS4_LAYERS2_FF128_LATENT128_seed17,2020,TRANSFORMER_42x23_WIDTH64_HEADS4_LAYERS2_FF128_LATENT128,17,fold_2020/checkpoints_TRANSFORMER_42x23_WIDTH64_HEADS4_LAYERS2_FF128_LATENT128_seed17/best_checkpoint.pt,7bf1bf3f6236e6fd7d67adf914c1d2c1b0c1cbc1fc09a07e711037fbcfcd9234,993305,77249,True,True,reuse candidate—verification pending,"Trained on numeric (X, y) tensors; uncorrupted parameter weights and optimizer states; verification pending recovery run"
fold_2020_TRANSFORMER_42x23_WIDTH64_HEADS4_LAYERS2_FF128_LATENT128_seed37,2020,TRANSFORMER_42x23_WIDTH64_HEADS4_LAYERS2_FF128_LATENT128,37,fold_2020/checkpoints_TRANSFORMER_42x23_WIDTH64_HEADS4_LAYERS2_FF128_LATENT128_seed37/best_checkpoint.pt,ee680f5003915eb2dc627d6d207bae92a7e71729a61bfe4a399ca99c1fa1291b,993369,77249,True,True,reuse candidate—verification pending,"Trained on numeric (X, y) tensors; uncorrupted parameter weights and optimizer states; verification pending recovery run"
fold_2021_MLP_ANNUAL_966_64_128_1_seed7,2021,MLP_ANNUAL_966_64_128_1,7,fold_2021/checkpoints_MLP_ANNUAL_966_64_128_1_seed7/best_checkpoint.pt,4fccd9a181ae9751f892fa8d1dbb056939d16886393f63c400fc2f4922fcc46e,875493,70721,True,True,reuse candidate—verification pending,"Trained on numeric (X, y) tensors; uncorrupted parameter weights and optimizer states; verification pending recovery run"
fold_2021_MLP_ANNUAL_966_64_128_1_seed17,2021,MLP_ANNUAL_966_64_128_1,17,fold_2021/checkpoints_MLP_ANNUAL_966_64_128_1_seed17/best_checkpoint.pt,40af2d7a0ea84e7c670905e52542008151b6b0528a7700ae9d8ce29595731c53,875429,70721,True,True,reuse candidate—verification pending,"Trained on numeric (X, y) tensors; uncorrupted parameter weights and optimizer states; verification pending recovery run"
fold_2021_MLP_ANNUAL_966_64_128_1_seed37,2021,MLP_ANNUAL_966_64_128_1,37,fold_2021/checkpoints_MLP_ANNUAL_966_64_128_1_seed37/best_checkpoint.pt,be8980eac52dfe93b173b7f419d9c09c2284b8d74015b694fbe8e6a3bee931ea,875493,70721,True,True,reuse candidate—verification pending,"Trained on numeric (X, y) tensors; uncorrupted parameter weights and optimizer states; verification pending recovery run"
fold_2021_TRANSFORMER_42x23_WIDTH64_HEADS4_LAYERS2_FF128_LATENT128_seed7,2021,TRANSFORMER_42x23_WIDTH64_HEADS4_LAYERS2_FF128_LATENT128,7,fold_2021/checkpoints_TRANSFORMER_42x23_WIDTH64_HEADS4_LAYERS2_FF128_LATENT128_seed7/best_checkpoint.pt,2a9fec0edafb615fe2b99b930bfe28dc1c7eccc0d1a45d5b7104f0e98fc6ca92,993369,77249,True,True,reuse candidate—verification pending,"Trained on numeric (X, y) tensors; uncorrupted parameter weights and optimizer states; verification pending recovery run"
fold_2021_TRANSFORMER_42x23_WIDTH64_HEADS4_LAYERS2_FF128_LATENT128_seed17,2021,TRANSFORMER_42x23_WIDTH64_HEADS4_LAYERS2_FF128_LATENT128,17,fold_2021/checkpoints_TRANSFORMER_42x23_WIDTH64_HEADS4_LAYERS2_FF128_LATENT128_seed17/best_checkpoint.pt,3bb493a504ae7d630d59161903768e81b6200459853cc603cb6fc36dc9544284,993305,77249,True,True,reuse candidate—verification pending,"Trained on numeric (X, y) tensors; uncorrupted parameter weights and optimizer states; verification pending recovery run"
fold_2021_TRANSFORMER_42x23_WIDTH64_HEADS4_LAYERS2_FF128_LATENT128_seed37,2021,TRANSFORMER_42x23_WIDTH64_HEADS4_LAYERS2_FF128_LATENT128,37,fold_2021/checkpoints_TRANSFORMER_42x23_WIDTH64_HEADS4_LAYERS2_FF128_LATENT128_seed37/best_checkpoint.pt,2d4e6623b5daa7c877402568605f3f3e4a41c54500d09aedb57a74eb5ac43616,993369,77249,True,True,reuse candidate—verification pending,"Trained on numeric (X, y) tensors; uncorrupted parameter weights and optimizer states; verification pending recovery run"
fold_2022_MLP_ANNUAL_966_64_128_1_seed7,2022,MLP_ANNUAL_966_64_128_1,7,fold_2022/checkpoints_MLP_ANNUAL_966_64_128_1_seed7/best_checkpoint.pt,90338de1764c3793c19489ba18424a0b78ec902dc9fc1cae7c9a9ae823963a49,875429,70721,True,True,reuse candidate—verification pending,"Trained on numeric (X, y) tensors; uncorrupted parameter weights and optimizer states; verification pending recovery run"
fold_2022_MLP_ANNUAL_966_64_128_1_seed17,2022,MLP_ANNUAL_966_64_128_1,17,fold_2022/checkpoints_MLP_ANNUAL_966_64_128_1_seed17/best_checkpoint.pt,5250e564e01eef709883e3af02df6ce5f62feb9b16a509078021902c7909a70b,875493,70721,True,True,reuse candidate—verification pending,"Trained on numeric (X, y) tensors; uncorrupted parameter weights and optimizer states; verification pending recovery run"
fold_2022_MLP_ANNUAL_966_64_128_1_seed37,2022,MLP_ANNUAL_966_64_128_1,37,fold_2022/checkpoints_MLP_ANNUAL_966_64_128_1_seed37/best_checkpoint.pt,0f8b21e337fe5d54f8fc3d0cf617f8bd78190da05ffc63aa855f791c210b486d,875429,70721,True,True,reuse candidate—verification pending,"Trained on numeric (X, y) tensors; uncorrupted parameter weights and optimizer states; verification pending recovery run"
fold_2022_TRANSFORMER_42x23_WIDTH64_HEADS4_LAYERS2_FF128_LATENT128_seed7,2022,TRANSFORMER_42x23_WIDTH64_HEADS4_LAYERS2_FF128_LATENT128,7,fold_2022/checkpoints_TRANSFORMER_42x23_WIDTH64_HEADS4_LAYERS2_FF128_LATENT128_seed7/best_checkpoint.pt,10dc2fa679c0e3edd9c16a5db1f2aaa2edbd1ab08de4383865e2ad6e02df15da,993369,77249,True,True,reuse candidate—verification pending,"Trained on numeric (X, y) tensors; uncorrupted parameter weights and optimizer states; verification pending recovery run"
fold_2022_TRANSFORMER_42x23_WIDTH64_HEADS4_LAYERS2_FF128_LATENT128_seed17,2022,TRANSFORMER_42x23_WIDTH64_HEADS4_LAYERS2_FF128_LATENT128,17,fold_2022/checkpoints_TRANSFORMER_42x23_WIDTH64_HEADS4_LAYERS2_FF128_LATENT128_seed17/best_checkpoint.pt,9713d0b838265460ba46834d20d6e500d9189cc98ab9d37576b38a2a219dc3ab,993305,77249,True,True,reuse candidate—verification pending,"Trained on numeric (X, y) tensors; uncorrupted parameter weights and optimizer states; verification pending recovery run"
