security,session,classification,original_open,original_high,original_low,original_close,corrected_high,corrected_low,violations,max_abs_violation,max_rel_violation,reason
Brazil_B3SA3.SA,2014-02-19,ROUNDOFF_ONLY,1.9234587463529154,1.9879204034805296,1.902664764162023,1.9879204034805298,1.9879204034805298,1.902664764162023,high < close,2.220446049250313e-16,1.116969293822161e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_B3SA3.SA,2016-04-04,ROUNDOFF_ONLY,3.5271279811859135,3.5271279811859135,3.5271279811859135,3.527127981185913,3.5271279811859135,3.527127981185913,low > close,4.440892098500626e-16,1.259067468543481e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_B3SA3.SA,2016-04-12,ROUNDOFF_ONLY,3.702447414398193,3.702447414398193,3.702447414398193,3.7024474143981934,3.7024474143981934,3.702447414398193,high < close,4.440892098500626e-16,1.199447716996802e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_B3SA3.SA,2018-02-28,ROUNDOFF_ONLY,6.422658603344145,6.425087572201591,6.223469257354737,6.223469257354736,6.425087572201591,6.223469257354736,low > close,8.881784197001252e-16,1.427143580167121e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_EQTL3.SA,2014-10-10,ROUNDOFF_ONLY,3.7817361354827876,3.7817361354827876,3.7817361354827876,3.781736135482788,3.781736135482788,3.7817361354827876,high < close,4.440892098500626e-16,1.1742998293384867e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_FLRY3.SA,2013-01-03,ROUNDOFF_ONLY,5.70515452735963,5.70515452735963,5.627105236053468,5.627105236053467,5.70515452735963,5.627105236053467,low > close,8.881784197001252e-16,1.5783931212259385e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_FLRY3.SA,2013-05-09,ROUNDOFF_ONLY,5.166362047375779,5.214199015916654,5.078241825103761,5.07824182510376,5.214199015916654,5.07824182510376,low > close,8.881784197001252e-16,1.7489880361929747e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_FLRY3.SA,2013-07-26,ROUNDOFF_ONLY,4.808845520019532,4.808845520019532,4.808845520019532,4.808845520019531,4.808845520019532,4.808845520019531,low > close,8.881784197001252e-16,1.8469680841328375e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_FLRY3.SA,2013-09-17,ROUNDOFF_ONLY,4.578082160596435,4.65221071243286,4.567857461443046,4.652210712432861,4.652210712432861,4.567857461443046,high < close,8.881784197001252e-16,1.9091534640219568e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_FLRY3.SA,2013-09-19,ROUNDOFF_ONLY,4.7007780861095245,4.711003303527831,4.654767451368533,4.711003303527832,4.711003303527832,4.654767451368533,high < close,8.881784197001252e-16,1.8853275246803869e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_FLRY3.SA,2014-01-23,ROUNDOFF_ONLY,4.899235758346311,4.919961895676253,4.870736598968507,4.870736598968506,4.919961895676253,4.870736598968506,low > close,8.881784197001252e-16,1.8234991805720272e-16,Bounded roundoff within 4 ULPs; normalized minimally
