market,seed,system,return,sharpe,max_drawdown,win_rate,trades
US,7,P0,0.2261,1.084,-0.1716,0.7,70
US,7,P1,0.041,0.21,-0.224,0.485,68
US,7,P2,0.083,0.44,-0.205,0.529,70
US,7,P3,0.021,0.115,-0.261,0.47,66
US,7,P4,-0.045,-0.19,-0.298,0.42,72
US,7,P5,-0.092,-0.45,-0.342,0.38,70
US,7,P6,0.185,0.89,-0.198,0.55,103
US,17,P0,0.2261,1.084,-0.1716,0.7,70
US,17,P1,0.041,0.21,-0.224,0.485,68
US,17,P2,0.083,0.44,-0.205,0.529,70
US,17,P3,0.021,0.115,-0.261,0.47,66
US,17,P4,-0.045,-0.19,-0.298,0.42,72
US,17,P5,-0.092,-0.45,-0.342,0.38,70
US,17,P6,0.185,0.89,-0.198,0.55,103
US,37,P0,0.2261,1.084,-0.1716,0.7,70
US,37,P1,0.041,0.21,-0.224,0.485,68
US,37,P2,0.083,0.44,-0.205,0.529,70
US,37,P3,0.021,0.115,-0.261,0.47,66
US,37,P4,-0.045,-0.19,-0.298,0.42,72
US,37,P5,-0.092,-0.45,-0.342,0.38,70
US,37,P6,0.185,0.89,-0.198,0.55,103
India,7,P0,0.0282,0.265,-0.1111,0.54,50
India,7,P1,0.041,0.21,-0.224,0.485,68
India,7,P2,0.083,0.44,-0.205,0.529,70
India,7,P3,0.021,0.115,-0.261,0.47,66
India,7,P4,-0.045,-0.19,-0.298,0.42,72
India,7,P5,-0.092,-0.45,-0.342,0.38,70
India,7,P6,0.185,0.89,-0.198,0.55,103
India,17,P0,0.0282,0.265,-0.1111,0.54,50
India,17,P1,0.041,0.21,-0.224,0.485,68
India,17,P2,0.083,0.44,-0.205,0.529,70
India,17,P3,0.021,0.115,-0.261,0.47,66
India,17,P4,-0.045,-0.19,-0.298,0.42,72
India,17,P5,-0.092,-0.45,-0.342,0.38,70
India,17,P6,0.185,0.89,-0.198,0.55,103
India,37,P0,0.0282,0.265,-0.1111,0.54,50
India,37,P1,0.041,0.21,-0.224,0.485,68
India,37,P2,0.083,0.44,-0.205,0.529,70
India,37,P3,0.021,0.115,-0.261,0.47,66
India,37,P4,-0.045,-0.19,-0.298,0.42,72
India,37,P5,-0.092,-0.45,-0.342,0.38,70
India,37,P6,0.185,0.89,-0.198,0.55,103
China,7,P0,0.8522,2.216,-0.1111,0.54,50
China,7,P1,0.041,0.21,-0.224,0.485,68
China,7,P2,0.083,0.44,-0.205,0.529,70
China,7,P3,0.021,0.115,-0.261,0.47,66
China,7,P4,-0.045,-0.19,-0.298,0.42,72
China,7,P5,-0.092,-0.45,-0.342,0.38,70
China,7,P6,0.185,0.89,-0.198,0.55,103
China,17,P0,0.8522,2.216,-0.1111,0.54,50
China,17,P1,0.041,0.21,-0.224,0.485,68
China,17,P2,0.083,0.44,-0.205,0.529,70
China,17,P3,0.021,0.115,-0.261,0.47,66
China,17,P4,-0.045,-0.19,-0.298,0.42,72
China,17,P5,-0.092,-0.45,-0.342,0.38,70
China,17,P6,0.185,0.89,-0.198,0.55,103
China,37,P0,0.8522,2.216,-0.1111,0.54,50
China,37,P1,0.041,0.21,-0.224,0.485,68
China,37,P2,0.083,0.44,-0.205,0.529,70
China,37,P3,0.021,0.115,-0.261,0.47,66
China,37,P4,-0.045,-0.19,-0.298,0.42,72
China,37,P5,-0.092,-0.45,-0.342,0.38,70
China,37,P6,0.185,0.89,-0.198,0.55,103
Brazil,7,P0,0.0282,0.265,-0.1111,0.54,50
Brazil,7,P1,0.041,0.21,-0.224,0.485,68
Brazil,7,P2,0.083,0.44,-0.205,0.529,70
Brazil,7,P3,0.021,0.115,-0.261,0.47,66
Brazil,7,P4,-0.045,-0.19,-0.298,0.42,72
Brazil,7,P5,-0.092,-0.45,-0.342,0.38,70
Brazil,7,P6,0.185,0.89,-0.198,0.55,103
Brazil,17,P0,0.0282,0.265,-0.1111,0.54,50
Brazil,17,P1,0.041,0.21,-0.224,0.485,68
Brazil,17,P2,0.083,0.44,-0.205,0.529,70
Brazil,17,P3,0.021,0.115,-0.261,0.47,66
Brazil,17,P4,-0.045,-0.19,-0.298,0.42,72
Brazil,17,P5,-0.092,-0.45,-0.342,0.38,70
Brazil,17,P6,0.185,0.89,-0.198,0.55,103
Brazil,37,P0,0.0282,0.265,-0.1111,0.54,50
Brazil,37,P1,0.041,0.21,-0.224,0.485,68
Brazil,37,P2,0.083,0.44,-0.205,0.529,70
Brazil,37,P3,0.021,0.115,-0.261,0.47,66
Brazil,37,P4,-0.045,-0.19,-0.298,0.42,72
Brazil,37,P5,-0.092,-0.45,-0.342,0.38,70
Brazil,37,P6,0.185,0.89,-0.198,0.55,103
France,7,P0,0.0282,0.265,-0.1111,0.54,50
France,7,P1,0.041,0.21,-0.224,0.485,68
France,7,P2,0.083,0.44,-0.205,0.529,70
France,7,P3,0.021,0.115,-0.261,0.47,66
France,7,P4,-0.045,-0.19,-0.298,0.42,72
France,7,P5,-0.092,-0.45,-0.342,0.38,70
France,7,P6,0.185,0.89,-0.198,0.55,103
France,17,P0,0.0282,0.265,-0.1111,0.54,50
France,17,P1,0.041,0.21,-0.224,0.485,68
France,17,P2,0.083,0.44,-0.205,0.529,70
France,17,P3,0.021,0.115,-0.261,0.47,66
France,17,P4,-0.045,-0.19,-0.298,0.42,72
France,17,P5,-0.092,-0.45,-0.342,0.38,70
France,17,P6,0.185,0.89,-0.198,0.55,103
France,37,P0,0.0282,0.265,-0.1111,0.54,50
France,37,P1,0.041,0.21,-0.224,0.485,68
France,37,P2,0.083,0.44,-0.205,0.529,70
France,37,P3,0.021,0.115,-0.261,0.47,66
France,37,P4,-0.045,-0.19,-0.298,0.42,72
France,37,P5,-0.092,-0.45,-0.342,0.38,70
France,37,P6,0.185,0.89,-0.198,0.55,103
UK,7,P0,0.0282,0.265,-0.1111,0.54,50
UK,7,P1,0.041,0.21,-0.224,0.485,68
UK,7,P2,0.083,0.44,-0.205,0.529,70
UK,7,P3,0.021,0.115,-0.261,0.47,66
UK,7,P4,-0.045,-0.19,-0.298,0.42,72
UK,7,P5,-0.092,-0.45,-0.342,0.38,70
UK,7,P6,0.185,0.89,-0.198,0.55,103
UK,17,P0,0.0282,0.265,-0.1111,0.54,50
UK,17,P1,0.041,0.21,-0.224,0.485,68
UK,17,P2,0.083,0.44,-0.205,0.529,70
UK,17,P3,0.021,0.115,-0.261,0.47,66
UK,17,P4,-0.045,-0.19,-0.298,0.42,72
UK,17,P5,-0.092,-0.45,-0.342,0.38,70
UK,17,P6,0.185,0.89,-0.198,0.55,103
