candidate,pooled_sharpe,median_market_sharpe,mean_market_sharpe,mean_total_return,positive_markets,baseline_wins,positive_brier_skill_markets,positive_reliability_spread_markets,worst_drawdown,profit_concentration,median_trade_count,deflated_sharpe_probability,pbo,reaches_sharpe_target,robustness_pass,passes
global_global__coverage_025,1.503026457290097,0.3703853223734694,0.567465317862034,0.1745160314448216,5,3,2,5,-0.2170564084953609,0.7029094553361841,59.0,0.4443886585939968,0.0,False,False,False
global_global__coverage_075,1.2770124952958446,0.32579232279852566,0.45679444377238326,0.1447554805419306,5,3,2,5,-0.23127606117740962,0.8223662039959357,59.5,0.3552738616691498,0.0,False,False,False
global_global__coverage_050,1.0942249816113914,0.3703853223734694,0.36849086315717844,0.13370626543877592,5,3,2,5,-0.31677136446870535,0.789523423860223,56.0,0.28818629943304713,0.0,False,False,False
global_global__coverage_100,0.5326288664683716,0.017322116857462627,0.08193582032129477,0.08044192164005225,3,2,2,5,-0.30253452686446025,0.8876313586726776,63.0,0.12978480550881483,0.0,False,False,False
global_regional__coverage_100,0.47202078122119795,0.04166310864211771,0.16685068762912136,0.06619050358463817,2,2,3,4,-0.20051500340342332,0.679682309697257,60.0,0.11758036295466529,0.0,False,False,False
global_regional__coverage_075,0.22399751756235373,-0.20029066021811082,0.08689778796066332,0.04102713287610008,2,1,3,4,-0.27630844077069117,0.6442292772695226,61.0,0.07505410691284693,0.0,False,False,False
global_regional__coverage_050,0.14303934503443927,-0.302377645255086,0.018971647954681092,0.030999640886536266,2,1,3,4,-0.28640535439022585,0.6442292772695226,59.0,0.06421972938321285,0.0,False,False,False
global_regional__coverage_025,0.1237951572010171,-0.15771166569131534,-0.06787627848694307,0.028206787835608964,3,1,3,4,-0.33710411136694696,0.6106656775105874,56.5,0.061917958582786606,0.0,False,False,False
regional_regional__coverage_025,0.11707623463337344,0.19979581899107612,0.13530297160141105,0.009579324972502523,3,1,0,3,-0.3396532250416663,0.6248711934163306,44.5,0.059326455464267916,0.0,False,False,False
regional_regional__coverage_075,-0.07647731160394364,0.22822744150537252,0.09659871835582111,-0.006517049724586684,3,1,0,3,-0.37210788526446326,0.5549972040217787,46.0,0.041716456623119104,0.0,False,False,False
regional_regional__coverage_100,-0.17094272054480894,-0.1239951160219514,0.04442815684693957,-0.02209116488236368,2,1,0,3,-0.39667119428413544,0.5592002973914577,47.5,0.034818336353535026,0.0,False,False,False
regional_regional__coverage_050,-0.19774319050075254,0.07102636628532331,-0.02972634989906404,-0.03193446043649434,3,1,0,3,-0.36342175809321897,0.7322474551451212,44.5,0.03347017055314041,0.0,False,False,False
