target_system,comparator,block_length_L,delta_tol,actual_delta_sharpe,boot_mean_delta,boot_se,ci_90,ci_95,one_sided_ni_95_bound,p_lower_inferiority,p_upper_superiority,p_tost_equivalence,non_inferiority_established,equivalence_established,p_two_sided_superiority
P0*,P1,5,0.1,0.0108,0.0135,0.0852,"[-0.1283, 0.1512]","[-0.1540, 0.1807]",-0.1283,0.0911,0.1553,0.1553,False,False,0.8666
P0*,P1,5,0.15,0.0108,0.0135,0.0852,"[-0.1283, 0.1512]","[-0.1540, 0.1807]",-0.1283,0.0275,0.0513,0.0513,True,False,0.8666
P0*,P1,5,0.2,0.0108,0.0135,0.0852,"[-0.1283, 0.1512]","[-0.1540, 0.1807]",-0.1283,0.0065,0.0136,0.0136,True,True,0.8666
P0*,P1,5,0.25,0.0108,0.0135,0.0852,"[-0.1283, 0.1512]","[-0.1540, 0.1807]",-0.1283,0.001,0.0027,0.0027,True,True,0.8666
P0*,P1,10,0.1,0.0108,0.0143,0.0866,"[-0.1279, 0.1579]","[-0.1555, 0.1850]",-0.1279,0.0929,0.1615,0.1615,False,False,0.8678
P0*,P1,10,0.15,0.0108,0.0143,0.0866,"[-0.1279, 0.1579]","[-0.1555, 0.1850]",-0.1279,0.0289,0.0598,0.0598,True,False,0.8678
P0*,P1,10,0.2,0.0108,0.0143,0.0866,"[-0.1279, 0.1579]","[-0.1555, 0.1850]",-0.1279,0.0065,0.0164,0.0164,True,True,0.8678
P0*,P1,10,0.25,0.0108,0.0143,0.0866,"[-0.1279, 0.1579]","[-0.1555, 0.1850]",-0.1279,0.0016,0.0031,0.0031,True,True,0.8678
P0*,P1,21,0.1,0.0108,-0.0045,0.0853,"[-0.1459, 0.1332]","[-0.1735, 0.1584]",-0.1459,0.1314,0.1102,0.1314,False,False,0.9646
P0*,P1,21,0.15,0.0108,-0.0045,0.0853,"[-0.1459, 0.1332]","[-0.1735, 0.1584]",-0.1459,0.0455,0.0314,0.0455,True,True,0.9646
P0*,P1,21,0.2,0.0108,-0.0045,0.0853,"[-0.1459, 0.1332]","[-0.1735, 0.1584]",-0.1459,0.0125,0.0078,0.0125,True,True,0.9646
P0*,P1,21,0.25,0.0108,-0.0045,0.0853,"[-0.1459, 0.1332]","[-0.1735, 0.1584]",-0.1459,0.0019,0.0014,0.0019,True,True,0.9646
P0*,P1,63,0.1,0.0108,-0.0577,0.065,"[-0.1641, 0.0500]","[-0.1837, 0.0728]",-0.1641,0.2551,0.0082,0.2551,False,False,0.377
P0*,P1,63,0.15,0.0108,-0.0577,0.065,"[-0.1641, 0.0500]","[-0.1837, 0.0728]",-0.1641,0.0757,0.0011,0.0757,False,False,0.377
P0*,P1,63,0.2,0.0108,-0.0577,0.065,"[-0.1641, 0.0500]","[-0.1837, 0.0728]",-0.1641,0.0122,0.0,0.0122,True,True,0.377
P0*,P1,63,0.25,0.0108,-0.0577,0.065,"[-0.1641, 0.0500]","[-0.1837, 0.0728]",-0.1641,0.0013,0.0,0.0013,True,True,0.377
