date,market,portfolio_equity
2025-01-02,US,100752.33
2025-01-03,US,99265.26
2025-01-06,US,96521.25
2025-01-07,US,97537.97
2025-01-08,US,96415.03
2025-01-09,US,95806.66
2025-01-10,US,93544.13
2025-01-13,US,94634.11
2025-01-14,US,95036.66
2025-01-15,US,95398.95
2025-01-16,US,95755.55
2025-01-17,US,93623.86
2025-01-20,US,92646.73
2025-01-21,US,92223.42
2025-01-22,US,91500.75
2025-01-23,US,91264.07
2025-01-24,US,91547.73
2025-01-27,US,92597.86
2025-01-28,US,91127.2
2025-01-29,US,91154.79
2025-01-30,US,91904.72
2025-01-31,US,91007.28
2025-02-03,US,90850.64
2025-02-04,US,91353.24
2025-02-05,US,91401.04
2025-02-06,US,92115.45
2025-02-07,US,92248.25
2025-02-10,US,91968.69
2025-02-11,US,90819.1
2025-02-12,US,91102.35
2025-02-13,US,91238.98
2025-02-14,US,90279.04
2025-02-17,US,90893.17
2025-02-18,US,92197.23
2025-02-19,US,91564.66
2025-02-20,US,90868.41
2025-02-21,US,90140.95
2025-02-24,US,88512.53
2025-02-25,US,90499.57
2025-02-26,US,90088.91
2025-02-27,US,89274.24
2025-02-28,US,88203.43
2025-03-03,US,87862.29
2025-03-04,US,87225.53
2025-03-05,US,88640.22
2025-03-06,US,87458.11
2025-03-07,US,86012.96
2025-03-10,US,86569.43
2025-03-11,US,86501.97
2025-03-12,US,86324.44
2025-03-13,US,86890.38
2025-03-14,US,87055.8
2025-03-17,US,87045.79
2025-03-18,US,85734.7
2025-03-19,US,84195.84
2025-03-20,US,83580.82
2025-03-21,US,82617.3
2025-03-24,US,82894.99
2025-03-25,US,81288.0
2025-03-26,US,80920.68
2025-03-27,US,80798.99
2025-03-28,US,80796.07
2025-03-31,US,81182.97
2025-01-02,India,99680.81
2025-01-03,India,98988.78
2025-01-06,India,100383.46
2025-01-07,India,100070.23
2025-01-08,India,101672.4
2025-01-09,India,101349.44
2025-01-10,India,101371.85
2025-01-13,India,101257.68
2025-01-14,India,101555.72
2025-01-15,India,101127.33
2025-01-16,India,101274.72
2025-01-17,India,103020.59
2025-01-20,India,104250.38
2025-01-21,India,105502.75
2025-01-22,India,103987.6
2025-01-23,India,102679.3
2025-01-24,India,102966.32
2025-01-27,India,103880.47
2025-01-28,India,103328.81
2025-01-29,India,102577.25
2025-01-30,India,104191.03
2025-01-31,India,105018.79
2025-02-03,India,106282.99
2025-02-04,India,105809.4
2025-02-05,India,105246.47
2025-02-06,India,106387.11
2025-02-07,India,106122.21
2025-02-10,India,105451.57
2025-02-11,India,104434.48
2025-02-12,India,103888.88
2025-02-13,India,104930.47
2025-02-14,India,103229.93
2025-02-17,India,103985.53
2025-02-18,India,103217.03
2025-02-19,India,103019.55
2025-02-20,India,102895.03
2025-02-21,India,102686.34
2025-02-24,India,102403.09
2025-02-25,India,101943.51
2025-02-26,India,101343.5
2025-02-27,India,102855.3
2025-02-28,India,102924.78
2025-03-03,India,102823.36
2025-03-04,India,102135.35
2025-03-05,India,101717.88
2025-03-06,India,101041.16
2025-03-07,India,101932.22
2025-03-10,India,101128.02
2025-03-11,India,98669.73
2025-03-12,India,98772.48
2025-03-13,India,98508.43
2025-03-14,India,97913.08
2025-03-17,India,98934.03
2025-03-18,India,95998.79
2025-03-19,India,97701.68
2025-03-20,India,98874.24
2025-03-21,India,98230.71
2025-03-24,India,97782.91
2025-03-25,India,98364.55
2025-03-26,India,98978.68
2025-03-27,India,98328.12
2025-03-28,India,96618.73
2025-03-31,India,98903.82
2025-01-02,China,101091.74
2025-01-03,China,101306.6
2025-01-06,China,101543.0
2025-01-07,China,102277.61
2025-01-08,China,103152.26
2025-01-09,China,100826.17
2025-01-10,China,100477.35
2025-01-13,China,100014.84
2025-01-14,China,99877.24
2025-01-15,China,100764.03
2025-01-16,China,98820.2
2025-01-17,China,97393.18
2025-01-20,China,96701.77
2025-01-21,China,96904.63
2025-01-22,China,97830.39
2025-01-23,China,99625.05
2025-01-24,China,99351.09
2025-01-27,China,100298.43
2025-01-28,China,101122.06
2025-01-29,China,101765.03
2025-01-30,China,101778.56
2025-01-31,China,101371.97
2025-02-03,China,100224.5
2025-02-04,China,99017.04
2025-02-05,China,99434.69
2025-02-06,China,99414.93
2025-02-07,China,99000.31
2025-02-10,China,99763.89
2025-02-11,China,99583.78
2025-02-12,China,98623.3
2025-02-13,China,98373.64
2025-02-14,China,99301.0
2025-02-17,China,98222.72
2025-02-18,China,98488.13
2025-02-19,China,98467.47
2025-02-20,China,97682.8
2025-02-21,China,97406.66
2025-02-24,China,95761.61
2025-02-25,China,95915.4
2025-02-26,China,94513.88
2025-02-27,China,95666.65
2025-02-28,China,95608.13
2025-03-03,China,95045.0
2025-03-04,China,96296.38
2025-03-05,China,95241.9
2025-03-06,China,94496.68
2025-03-07,China,92633.04
2025-03-10,China,94004.44
2025-03-11,China,95978.67
2025-03-12,China,94250.14
2025-03-13,China,93442.09
2025-03-14,China,93551.22
2025-03-17,China,93057.96
2025-03-18,China,93063.13
2025-03-19,China,92979.97
2025-03-20,China,93434.0
2025-03-21,China,92483.72
2025-03-24,China,92716.71
2025-03-25,China,91615.47
2025-03-26,China,91237.06
2025-03-27,China,89530.54
2025-03-28,China,89167.94
2025-03-31,China,88641.84
2025-01-02,Brazil,101077.94
2025-01-03,Brazil,101052.48
2025-01-06,Brazil,101229.07
2025-01-07,Brazil,101244.56
2025-01-08,Brazil,98913.89
2025-01-09,Brazil,96780.68
2025-01-10,Brazil,96480.13
2025-01-13,Brazil,96814.35
2025-01-14,Brazil,96602.95
2025-01-15,Brazil,95723.42
2025-01-16,Brazil,95508.67
2025-01-17,Brazil,95203.24
2025-01-20,Brazil,96057.12
2025-01-21,Brazil,96859.51
2025-01-22,Brazil,96308.61
2025-01-23,Brazil,96294.24
2025-01-24,Brazil,96625.32
2025-01-27,Brazil,97115.32
2025-01-28,Brazil,98919.58
2025-01-29,Brazil,98928.52
2025-01-30,Brazil,100239.94
2025-01-31,Brazil,99000.88
2025-02-03,Brazil,98346.05
2025-02-04,Brazil,96074.84
2025-02-05,Brazil,96273.17
2025-02-06,Brazil,96997.41
2025-02-07,Brazil,94309.69
2025-02-10,Brazil,94542.74
2025-02-11,Brazil,95208.92
2025-02-12,Brazil,95820.12
2025-02-13,Brazil,94597.99
2025-02-14,Brazil,95440.32
2025-02-17,Brazil,95488.26
2025-02-18,Brazil,96147.27
2025-02-19,Brazil,96052.62
2025-02-20,Brazil,96493.63
2025-02-21,Brazil,97709.61
2025-02-24,Brazil,97529.41
2025-02-25,Brazil,97873.21
2025-02-26,Brazil,99257.87
2025-02-27,Brazil,99152.11
2025-02-28,Brazil,97964.33
2025-03-03,Brazil,98732.02
2025-03-04,Brazil,100329.87
2025-03-05,Brazil,101792.34
2025-03-06,Brazil,102633.64
2025-03-07,Brazil,100028.21
2025-03-10,Brazil,99368.61
2025-03-11,Brazil,98769.36
2025-03-12,Brazil,98857.61
2025-03-13,Brazil,100733.03
2025-03-14,Brazil,99576.01
2025-03-17,Brazil,102071.81
2025-03-18,Brazil,101683.36
2025-03-19,Brazil,100866.25
2025-03-20,Brazil,101844.37
2025-03-21,Brazil,102920.6
2025-03-24,Brazil,103697.59
2025-03-25,Brazil,102861.37
2025-03-26,Brazil,103470.54
2025-03-27,Brazil,102335.56
2025-03-28,Brazil,101479.04
2025-03-31,Brazil,101413.73
