date,market,seed,system,portfolio_equity,daily_return,drawdown
2024-01-02,US,7,P0,99905.47,-0.000945,0.0
2024-01-03,US,7,P0,100450.35,0.005454,0.0
2024-01-04,US,7,P0,99266.16,-0.011789,-0.0118
2024-01-05,US,7,P0,99718.08,0.004553,-0.0073
2024-01-08,US,7,P0,99881.0,0.001634,-0.0057
2024-01-09,US,7,P0,100757.35,0.008774,0.0
2024-01-10,US,7,P0,100443.57,-0.003114,-0.0031
2024-01-11,US,7,P0,100712.25,0.002675,-0.0004
2024-01-12,US,7,P0,100898.36,0.001848,0.0
2024-01-16,US,7,P0,99909.11,-0.009804,-0.0098
2024-01-17,US,7,P0,99106.67,-0.008032,-0.0178
2024-01-18,US,7,P0,99280.27,0.001752,-0.016
2024-01-19,US,7,P0,98447.46,-0.008388,-0.0243
2024-01-22,US,7,P0,100201.57,0.017818,-0.0069
2024-01-23,US,7,P0,100147.92,-0.000535,-0.0074
2024-01-24,US,7,P0,100603.38,0.004548,-0.0029
2024-01-25,US,7,P0,100716.0,0.001119,-0.0018
2024-01-26,US,7,P0,99955.42,-0.007552,-0.0093
2024-01-29,US,7,P0,100234.29,0.00279,-0.0066
2024-01-30,US,7,P0,99685.79,-0.005472,-0.012
2024-01-31,US,7,P0,98893.66,-0.007946,-0.0199
2024-02-01,US,7,P0,98926.42,0.000331,-0.0195
2024-02-02,US,7,P0,98616.58,-0.003132,-0.0226
2024-02-05,US,7,P0,98180.96,-0.004417,-0.0269
2024-02-06,US,7,P0,96931.83,-0.012723,-0.0393
2024-02-07,US,7,P0,98313.12,0.01425,-0.0256
2024-02-08,US,7,P0,98057.16,-0.002604,-0.0282
2024-02-09,US,7,P0,98122.33,0.000665,-0.0275
2024-02-12,US,7,P0,97377.77,-0.007588,-0.0349
2024-02-13,US,7,P0,97417.11,0.000404,-0.0345
2024-02-14,US,7,P0,98468.06,0.010788,-0.0241
2024-02-15,US,7,P0,97754.02,-0.007251,-0.0312
2024-02-16,US,7,P0,98895.33,0.011675,-0.0199
2024-02-20,US,7,P0,98399.04,-0.005018,-0.0248
2024-02-21,US,7,P0,98064.58,-0.003399,-0.0281
2024-02-22,US,7,P0,98095.79,0.000318,-0.0278
2024-02-23,US,7,P0,98723.67,0.006401,-0.0216
2024-02-26,US,7,P0,98495.32,-0.002313,-0.0238
2024-02-27,US,7,P0,99585.87,0.011072,-0.013
2024-02-28,US,7,P0,99961.68,0.003774,-0.0093
2024-02-29,US,7,P0,99397.55,-0.005644,-0.0149
2024-03-01,US,7,P0,99172.78,-0.002261,-0.0171
2024-03-04,US,7,P0,99602.73,0.004335,-0.0128
2024-03-05,US,7,P0,99579.74,-0.000231,-0.0131
2024-03-06,US,7,P0,99746.1,0.001671,-0.0114
2024-03-07,US,7,P0,100230.79,0.004859,-0.0066
2024-03-08,US,7,P0,100726.88,0.004949,-0.0017
2024-03-11,US,7,P0,102334.66,0.015962,0.0
2024-03-12,US,7,P0,102522.16,0.001832,0.0
2024-03-13,US,7,P0,102116.1,-0.003961,-0.004
2024-03-14,US,7,P0,103280.48,0.011403,0.0
2024-03-15,US,7,P0,102402.17,-0.008504,-0.0085
2024-03-18,US,7,P0,101650.92,-0.007336,-0.0158
2024-03-19,US,7,P0,102470.18,0.00806,-0.0078
2024-03-20,US,7,P0,102377.35,-0.000906,-0.0087
2024-03-21,US,7,P0,102156.48,-0.002157,-0.0109
2024-03-22,US,7,P0,101764.96,-0.003833,-0.0147
2024-03-25,US,7,P0,102590.02,0.008108,-0.0067
2024-03-26,US,7,P0,101977.75,-0.005968,-0.0126
2024-03-27,US,7,P0,102443.99,0.004572,-0.0081
2024-03-28,US,7,P0,102271.53,-0.001684,-0.0098
2024-04-01,US,7,P0,102364.48,0.000909,-0.0089
2024-04-02,US,7,P0,103179.31,0.00796,-0.001
2024-04-03,US,7,P0,103604.01,0.004116,0.0
2024-04-04,US,7,P0,103061.86,-0.005233,-0.0052
2024-04-05,US,7,P0,103742.28,0.006602,0.0
2024-04-08,US,7,P0,104039.55,0.002865,0.0
2024-04-09,US,7,P0,103775.99,-0.002533,-0.0025
2024-04-10,US,7,P0,103692.01,-0.000809,-0.0033
2024-04-11,US,7,P0,103273.82,-0.004033,-0.0074
