date,market,portfolio_equity,status
2025-01-02,US,102934.01,ACTIVE_EVALUATION
2025-01-03,US,102479.41,ACTIVE_EVALUATION
2025-01-06,US,104273.25,ACTIVE_EVALUATION
2025-01-07,US,103461.6,ACTIVE_EVALUATION
2025-01-08,US,102668.17,ACTIVE_EVALUATION
2025-01-09,US,104059.27,ACTIVE_EVALUATION
2025-01-10,US,101462.65,ACTIVE_EVALUATION
2025-01-13,US,102747.16,ACTIVE_EVALUATION
2025-01-14,US,103079.08,ACTIVE_EVALUATION
2025-01-15,US,105381.65,ACTIVE_EVALUATION
2025-01-16,US,105227.11,ACTIVE_EVALUATION
2025-01-17,US,105581.32,ACTIVE_EVALUATION
2025-01-21,US,105125.95,ACTIVE_EVALUATION
2025-01-22,US,103617.19,ACTIVE_EVALUATION
2025-01-23,US,103602.35,ACTIVE_EVALUATION
2025-01-24,US,103732.21,ACTIVE_EVALUATION
2025-01-27,US,104471.17,ACTIVE_EVALUATION
2025-01-28,US,106415.77,ACTIVE_EVALUATION
2025-01-29,US,106773.66,ACTIVE_EVALUATION
2025-01-30,US,105522.16,ACTIVE_EVALUATION
2025-01-31,US,104301.06,ACTIVE_EVALUATION
2025-02-03,US,105795.29,ACTIVE_EVALUATION
2025-02-04,US,104419.6,ACTIVE_EVALUATION
2025-02-05,US,104499.91,ACTIVE_EVALUATION
2025-02-06,US,104641.04,ACTIVE_EVALUATION
2025-02-07,US,104696.35,ACTIVE_EVALUATION
2025-02-10,US,103711.22,ACTIVE_EVALUATION
2025-02-11,US,101385.31,ACTIVE_EVALUATION
2025-02-12,US,101245.51,ACTIVE_EVALUATION
2025-02-13,US,101191.79,ACTIVE_EVALUATION
2025-02-14,US,101658.33,ACTIVE_EVALUATION
2025-02-18,US,101436.02,ACTIVE_EVALUATION
2025-02-19,US,102888.52,ACTIVE_EVALUATION
2025-02-20,US,104174.91,ACTIVE_EVALUATION
2025-02-21,US,103612.17,ACTIVE_EVALUATION
2025-02-24,US,102503.31,ACTIVE_EVALUATION
2025-02-25,US,101766.83,ACTIVE_EVALUATION
2025-02-26,US,102827.89,ACTIVE_EVALUATION
2025-02-27,US,103440.41,ACTIVE_EVALUATION
2025-02-28,US,103787.95,ACTIVE_EVALUATION
2025-03-03,US,100721.29,ACTIVE_EVALUATION
2025-03-04,US,99927.7,ACTIVE_EVALUATION
2025-03-05,US,101791.26,ACTIVE_EVALUATION
2025-03-06,US,102263.76,ACTIVE_EVALUATION
2025-03-07,US,103708.98,ACTIVE_EVALUATION
2025-03-10,US,103507.59,ACTIVE_EVALUATION
2025-03-11,US,104289.44,ACTIVE_EVALUATION
2025-03-12,US,104667.16,ACTIVE_EVALUATION
2025-03-13,US,106077.47,ACTIVE_EVALUATION
2025-03-14,US,107181.64,ACTIVE_EVALUATION
2025-03-17,US,107110.03,ACTIVE_EVALUATION
2025-03-18,US,107126.42,ACTIVE_EVALUATION
2025-03-19,US,109903.77,ACTIVE_EVALUATION
2025-03-20,US,109942.92,ACTIVE_EVALUATION
2025-03-21,US,108909.03,ACTIVE_EVALUATION
2025-03-24,US,107765.34,ACTIVE_EVALUATION
2025-03-25,US,108532.16,ACTIVE_EVALUATION
2025-03-26,US,109251.57,ACTIVE_EVALUATION
2025-03-27,US,107580.72,ACTIVE_EVALUATION
2025-03-28,US,109348.17,ACTIVE_EVALUATION
2025-03-31,US,111140.19,ACTIVE_EVALUATION
2025-04-01,US,112266.24,ACTIVE_EVALUATION
2025-04-02,US,112811.71,ACTIVE_EVALUATION
2025-04-03,US,113251.06,ACTIVE_EVALUATION
2025-04-04,US,113120.82,ACTIVE_EVALUATION
2025-04-07,US,110128.74,ACTIVE_EVALUATION
2025-04-08,US,109388.45,ACTIVE_EVALUATION
2025-04-09,US,110346.82,ACTIVE_EVALUATION
2025-04-10,US,110470.79,ACTIVE_EVALUATION
2025-04-11,US,110813.58,ACTIVE_EVALUATION
2025-04-14,US,109972.34,ACTIVE_EVALUATION
2025-04-15,US,110192.89,ACTIVE_EVALUATION
2025-04-16,US,109468.61,ACTIVE_EVALUATION
2025-04-17,US,108873.15,ACTIVE_EVALUATION
2025-04-21,US,107108.57,ACTIVE_EVALUATION
2025-04-22,US,106637.68,ACTIVE_EVALUATION
2025-04-23,US,107551.44,ACTIVE_EVALUATION
2025-04-24,US,107417.85,ACTIVE_EVALUATION
2025-04-25,US,104934.1,ACTIVE_EVALUATION
2025-04-28,US,106217.14,ACTIVE_EVALUATION
2025-04-29,US,106251.83,ACTIVE_EVALUATION
2025-04-30,US,107290.0,ACTIVE_EVALUATION
2025-05-01,US,109089.21,ACTIVE_EVALUATION
2025-05-02,US,110299.04,ACTIVE_EVALUATION
2025-05-05,US,108464.0,ACTIVE_EVALUATION
2025-05-06,US,108369.69,ACTIVE_EVALUATION
2025-05-07,US,107267.13,ACTIVE_EVALUATION
2025-05-08,US,105887.98,ACTIVE_EVALUATION
2025-05-09,US,105770.79,ACTIVE_EVALUATION
2025-05-12,US,105687.88,ACTIVE_EVALUATION
2025-05-13,US,106428.94,ACTIVE_EVALUATION
2025-05-14,US,103563.04,ACTIVE_EVALUATION
2025-05-15,US,102784.52,ACTIVE_EVALUATION
2025-05-16,US,101965.88,ACTIVE_EVALUATION
2025-05-19,US,100104.95,ACTIVE_EVALUATION
2025-05-20,US,100084.71,ACTIVE_EVALUATION
2025-05-21,US,100740.41,ACTIVE_EVALUATION
2025-05-22,US,100750.98,ACTIVE_EVALUATION
2025-05-23,US,99160.49,ACTIVE_EVALUATION
2025-05-27,US,98280.02,ACTIVE_EVALUATION
2025-05-28,US,95653.94,ACTIVE_EVALUATION
2025-05-29,US,96840.41,ACTIVE_EVALUATION
2025-05-30,US,96657.75,ACTIVE_EVALUATION
2025-06-02,US,96757.55,ACTIVE_EVALUATION
2025-06-03,US,95983.25,ACTIVE_EVALUATION
2025-06-04,US,93861.08,ACTIVE_EVALUATION
2025-06-05,US,94441.91,ACTIVE_EVALUATION
2025-06-06,US,96095.67,ACTIVE_EVALUATION
2025-06-09,US,96891.8,ACTIVE_EVALUATION
2025-06-10,US,95591.63,ACTIVE_EVALUATION
2025-06-11,US,95778.72,ACTIVE_EVALUATION
2025-06-12,US,97850.31,ACTIVE_EVALUATION
2025-06-13,US,98679.92,ACTIVE_EVALUATION
2025-06-16,US,99960.08,ACTIVE_EVALUATION
2025-06-17,US,98671.91,ACTIVE_EVALUATION
2025-06-18,US,99203.3,ACTIVE_EVALUATION
2025-06-20,US,98469.93,ACTIVE_EVALUATION
2025-06-23,US,98654.84,ACTIVE_EVALUATION
2025-06-24,US,98364.0,ACTIVE_EVALUATION
2025-06-25,US,97992.27,ACTIVE_EVALUATION
2025-06-26,US,98577.44,ACTIVE_EVALUATION
2025-06-27,US,99097.68,ACTIVE_EVALUATION
2025-06-30,US,99026.75,ACTIVE_EVALUATION
2025-07-01,US,100130.41,ACTIVE_EVALUATION
2025-07-02,US,101305.31,ACTIVE_EVALUATION
2025-07-03,US,99556.29,ACTIVE_EVALUATION
2025-07-07,US,99997.66,ACTIVE_EVALUATION
2025-07-08,US,101124.78,ACTIVE_EVALUATION
2025-07-09,US,100072.58,ACTIVE_EVALUATION
2025-07-10,US,101633.83,ACTIVE_EVALUATION
2025-07-11,US,100006.47,ACTIVE_EVALUATION
2025-07-14,US,99983.88,ACTIVE_EVALUATION
2025-07-15,US,99480.06,ACTIVE_EVALUATION
2025-07-16,US,98883.16,ACTIVE_EVALUATION
2025-07-17,US,95923.37,ACTIVE_EVALUATION
2025-07-18,US,96052.98,ACTIVE_EVALUATION
2025-07-21,US,96542.86,ACTIVE_EVALUATION
2025-07-22,US,96232.87,ACTIVE_EVALUATION
