date,ticker,market,outcome_future_63,dim_000,dim_001,dim_002,dim_003,dim_004,dim_005,dim_006,dim_007,dim_008,dim_009,dim_010,dim_011,dim_012,dim_013,dim_014,dim_015,dim_016,dim_017,dim_018,dim_019,dim_020,dim_021,dim_022,dim_023,dim_024,dim_025,dim_026,dim_027,dim_028,dim_029,dim_030,dim_031,dim_032,dim_033,dim_034,dim_035,dim_036,dim_037,dim_038,dim_039,dim_040,dim_041,dim_042,dim_043,dim_044,dim_045,dim_046,dim_047,dim_048,dim_049,dim_050,dim_051,dim_052,dim_053,dim_054,dim_055,dim_056,dim_057,dim_058,dim_059,dim_060,dim_061,dim_062,dim_063,dim_064,dim_065,dim_066,dim_067,dim_068,dim_069,dim_070,dim_071,dim_072,dim_073,dim_074,dim_075,dim_076,dim_077,dim_078,dim_079,dim_080,dim_081,dim_082,dim_083,dim_084,dim_085,dim_086,dim_087,dim_088,dim_089,dim_090,dim_091,dim_092,dim_093,dim_094,dim_095,dim_096,dim_097,dim_098,dim_099,dim_100,dim_101,dim_102,dim_103,dim_104,dim_105,dim_106,dim_107,dim_108,dim_109,dim_110,dim_111,dim_112,dim_113,dim_114,dim_115,dim_116,dim_117,dim_118,dim_119,dim_120,dim_121,dim_122,dim_123,dim_124,dim_125,dim_126,dim_127
2024-01-02,AAPL,US,-0.084968,-1.0295994,-0.64227873,0.4467374,-0.4380644,-0.7970436,0.012561943,-0.39600462,-0.32035908,-0.4305213,1.3047028,-0.25718918,-0.25025725,-0.6962543,0.3973312,-0.2398977,0.7089851,0.44816157,-0.36544508,-0.25742593,0.93840635,-0.3090645,0.0539575,-0.6137868,-0.38316602,-0.95963156,-0.40106925,-0.04925294,0.07732643,-0.56144863,0.46607977,0.36719102,0.21170454,-0.88105464,-0.15542895,-0.59471494,0.32759258,0.32927644,-0.28206953,-2.2192883,-1.3102523,-0.078543715,0.38171837,0.31812105,-1.1925088,1.0961182,0.21079579,0.19412035,-0.19404253,-1.019258,1.2801147,-0.31628686,0.5235474,0.59044856,0.18637416,-0.11061159,1.0523131,-0.88159937,0.62696934,0.5858887,-0.4121484,0.091973566,0.43114352,0.5426753,0.4332158,0.7336975,-0.79834807,0.057221007,-0.4563937,-0.20692863,-0.56840515,0.12702999,0.22699706,0.6029568,-0.80661714,0.26035303,-0.5448779,-0.88714045,0.4978976,1.6909331,0.7098691,-0.8026632,-1.0370661,0.45307913,0.7642982,0.6503788,0.015387173,0.49145803,-0.09767866,0.39087918,-0.0012931627,-0.19254023,0.7996945,0.67357653,-0.39270815,-0.032714333,-0.59897435,0.41708353,0.063335486,-0.9115773,0.3105536,-0.261125,0.3119427,-0.9540672,0.391613,1.2758241,0.38013718,-0.7747239,-0.023879334,-0.6673245,0.5488964,-0.059911504,0.025770482,-1.2325869,-0.71857476,-0.59833163,0.8174291,-0.23055032,-0.67713815,-0.22373264,-0.37053323,0.9806269,0.35949227,-0.554681,0.25600985,0.01363157,0.011386902,-0.4534087,-0.7632118
2024-02-07,AAPL,US,-0.033983,0.21687081,0.1272329,-0.02275463,0.15223631,0.040734876,0.3778842,-0.0019952501,0.3555853,-0.09767869,-0.20070922,0.092093565,0.75650483,-0.18678099,0.16455628,0.71886975,-0.09707711,0.28683555,-0.37003863,0.45756763,-0.42480844,-0.49722886,-0.17245908,-0.36794874,0.029987184,0.04887402,0.27353308,0.72464114,0.47883582,-0.17393859,0.055948295,-0.20289443,0.09839021,-1.0211949,0.26165867,0.13193387,-0.69693017,-0.7874815,-0.26804483,-0.16210093,-0.3809702,0.036146,0.009583531,0.24297717,0.20358875,-0.23834275,-0.46374783,-0.48169038,-0.29385075,-0.09455306,0.37303162,-0.67538273,0.027192686,-1.0794058,-0.35782862,0.61945474,-0.06773123,0.47836083,-0.057639576,-1.0069219,-0.23688255,0.2785187,0.30743346,-0.17040734,0.32541087,-0.6714307,0.24530195,0.20419018,-0.3711218,-0.42655763,-0.12193895,-0.4023813,0.41087532,0.18127513,0.07850595,0.72987753,0.26593804,-0.5348485,0.3555944,-0.38837433,-0.97095907,0.32024312,0.04590835,0.17430793,-0.13983881,0.52039564,-0.3123825,0.7716578,0.61514753,-0.22290453,0.5388892,0.27715987,0.22486366,-0.41525173,-0.65875196,-0.69675344,-0.08848933,-1.3111902,-0.5216171,0.54104793,0.40654,-0.098867014,0.15250899,0.22937235,-0.16076395,-0.09628325,0.16447702,-0.9452144,0.5429776,0.18199925,-0.56394047,0.28392896,-0.35912067,-0.68910056,0.3827198,1.1021307,0.43938744,-0.24879211,-0.2009247,0.6056679,-0.5777963,-0.59288526,-0.5378546,0.54957914,0.07172227,0.5743532,-0.42728162,-0.30034983,0.03361745
2024-03-14,AAPL,US,0.240061,0.06692818,0.40516445,0.7398864,0.39004898,0.5328356,0.27465093,0.0473367,0.6885455,-0.12665454,-0.5898691,0.28290495,1.1515113,-0.090854384,0.34263265,0.7861902,-0.04038313,0.07359154,-0.29884806,0.41390368,-0.5735396,-0.4644105,-0.48656246,-0.91701615,0.39179814,0.4321828,0.42000917,0.25840372,0.6478407,-0.011191345,-0.13562265,-0.19880924,0.3692482,-1.1387376,0.41747364,0.4805236,-0.45707303,-1.1223414,-0.27086756,0.12293344,-0.06402849,0.15543976,0.14529504,0.08087304,0.52651817,-0.20834182,-0.44142112,-0.30041534,-0.5167306,0.44379365,0.26154172,-0.39982966,0.06994065,-1.300673,-0.69369864,0.55128866,-0.12166871,0.8802843,-0.2994498,-1.2124534,-0.14195281,0.12461835,-0.20715868,0.054480117,0.011240431,-0.74106157,0.48199582,0.7366186,-0.06728297,-0.22546004,0.4626918,-0.22408748,-0.037496977,0.3636697,0.17209701,0.72471625,0.24695487,-0.6298117,0.2691198,-0.5601712,-1.4885831,0.6061577,0.18652374,-0.20665085,-0.042020403,0.26273802,-0.28858957,1.1553762,0.6850663,-0.3326902,0.14098239,0.453067,0.1264248,-0.5523738,-0.6694445,-0.8492411,0.061855182,-1.3625286,-0.76622224,0.82006615,-0.053957757,0.23295233,-0.21471815,0.5055179,-0.31242937,-0.16951022,0.114972904,-1.284931,0.5043877,0.37783667,-0.56739813,0.13289684,-0.20730792,-0.5436829,0.73755985,1.154949,0.1149385,-0.17796288,-0.3887876,0.256415,-0.29630154,-0.53603077,-0.3461183,0.5895108,0.0665857,0.8477272,-0.7614325,0.33396664,0.08435532
2024-04-19,AAPL,US,0.359174,0.0019168818,0.19042541,0.2039551,0.26795733,0.2106143,0.19192186,-0.030106464,0.53875536,0.03150078,-0.17278787,0.1435577,1.0740372,-0.17790453,-0.033976536,0.36698455,-0.1184981,-0.07364035,-0.26825503,0.52387893,-0.19637638,-0.47191063,-0.712146,-0.6752539,0.14317289,0.31996688,0.37906733,0.52149814,0.8844215,-0.12788779,9.553579e-05,0.001735483,0.43321577,-1.05176,0.2373579,0.6879195,-0.6474946,-0.6868225,-0.24047601,-0.2801555,-0.22452937,-0.12544349,0.39793155,-0.18923613,0.16516109,-0.20567393,-0.14569925,-0.47804368,-0.39118233,0.20655006,0.46199885,-0.4313348,0.016302118,-1.1545151,-0.61929953,0.66037685,-0.048814967,0.85234356,0.052178606,-1.1199837,-0.21974595,0.3238305,-0.14269942,-0.1845729,-0.05733608,-0.6730716,0.29473266,0.45172468,0.031278398,-0.29636177,0.50612575,0.047489207,-0.08715909,0.5434447,0.05740267,0.8582396,0.29061753,-0.79150313,0.09801507,-0.35169455,-1.0669563,0.3725634,0.028713023,-0.34456223,0.19783734,0.10361085,0.10313454,0.7035516,0.6644302,-0.44111362,0.11159584,0.19085103,0.2880649,-0.5344471,-0.32601944,-0.846463,-0.04996845,-1.3187337,-0.63751477,0.8730133,0.1601912,0.37986097,-0.39868596,0.29326674,-0.05560228,0.30783078,0.39700443,-1.0337847,0.541708,0.27470636,-0.27337396,-0.328376,0.11227936,-0.6918194,0.97430205,1.1154914,0.2528544,0.03907327,-0.505711,0.33971033,-0.55982727,-0.47398967,-0.17872994,0.56997544,0.07612551,0.51070905,-0.096571885,0.21583033,0.013313121
2024-05-24,AAPL,US,0.197194,-0.046542853,-0.08213358,-1.017931,-0.029216789,0.04397364,-0.07573936,-0.13054751,-0.19810635,0.41520154,0.3061659,-0.24813813,-0.118316084,-0.08793509,-0.35364446,0.08675327,-0.11251183,0.21985541,-0.048889242,0.6539332,0.21392111,0.031076748,-0.8260429,0.14224222,-0.43188563,0.1775493,0.109920464,0.4037898,-0.04087498,-0.31904158,-0.37752947,0.16625965,-0.15649328,-0.034890763,0.17277509,-0.11140322,-0.23728862,0.73991543,-0.17449065,-0.71650827,0.037321694,0.2700175,0.046472467,-0.07356897,0.050736416,-0.74538237,-0.1836787,-0.47270468,-0.17048527,-0.5413081,-0.03841083,-0.17249283,-0.775574,-0.3136945,-0.35319835,0.4513008,-0.13684028,0.5801632,0.27815014,-0.445245,0.056156456,-0.05144676,0.32365176,-0.65427303,0.40152916,-0.2281546,-0.04109351,-0.4339756,-0.09276622,-0.35233623,-0.20565832,0.2756358,0.22248687,0.048834547,0.04251138,-0.22309455,0.04327432,-0.30422992,-0.27631164,-0.25202152,0.89930207,-0.16274902,-0.35240468,0.12883392,0.68282914,0.49232456,0.3875037,-1.1007596,0.10861807,0.040137593,0.53544694,-0.75164765,-0.6007812,0.07660616,0.23754227,-0.039886698,-0.0707946,-0.78205127,0.48606026,-0.23078726,0.5033034,-0.035577565,0.2684795,-0.15384135,0.099870704,-0.032272134,0.33803457,-0.029020008,0.1869106,-0.1183894,-0.19016866,-0.29464746,-0.34765768,-0.20210284,0.53200275,0.39781174,0.2042403,-0.1047389,-0.27050227,-0.4635782,0.2553934,-0.2151152,0.19261415,0.6150767,0.29039815,-0.1436329,1.3733892,-0.8233636,0.089371525
2024-07-02,AAPL,US,0.028156,-1.2031186,-0.4861791,-1.3992938,-0.3641804,-0.71022385,-1.0429982,0.21771652,-0.38007197,1.3413291,0.52151114,-0.5105034,0.3599223,0.1376807,0.11749074,-1.2949691,-0.7016314,-0.45685756,0.29674137,-1.035839,-0.0010561806,-0.17692721,-0.19451694,1.3037009,-0.31721252,0.036867965,0.21445762,1.80643,0.42719087,0.34648678,0.85656565,0.51307714,-0.2474883,0.856696,-0.16202566,0.03458721,-0.7828945,2.224526,0.44313192,-1.097043,0.09664741,0.48319405,0.056731742,-0.3917516,-0.8781644,-0.17731257,1.051072,-1.3492198,0.2653257,-0.7342232,1.5608938,-0.35460234,-1.2354481,1.2885721,0.248761,1.6336693,-0.2751904,-1.6326826,0.96635514,-0.6926168,-0.6033279,1.2361624,-0.09929684,-0.23084356,0.44696125,0.25098985,-0.23155284,-1.4694897,-0.297629,-1.8109946,0.05083134,-0.05578023,0.12347297,1.1437839,0.30467182,0.7282031,0.8098498,-0.45395994,-0.56314176,0.50634784,2.2403052,-0.07413995,0.28028098,0.009905531,1.3111281,0.30196455,1.0259621,-1.4116197,-0.28513926,-0.112921655,1.2648581,-0.83001775,-0.54021335,1.4972657,0.9218849,-1.1727935,0.79619694,0.8179006,1.3516362,0.21716669,0.33511585,-0.6315283,-0.17953515,0.12178898,1.554072,0.028893415,0.8741196,1.3303051,0.45936257,-0.08127645,-0.10652507,-1.3415458,0.10598192,-1.1126238,-0.52757806,-0.6180021,0.039068133,-0.62549293,0.2761746,0.45495564,-0.66703635,-1.1017208,0.10858508,-0.049974773,-0.0035532918,-1.5388461,2.638683,-1.5873766,0.52632606
2024-08-07,AAPL,US,0.066193,-1.1105838,-0.86127687,-1.5014731,-1.1531531,-1.5740024,-0.39335498,0.19243258,-3.1729357,0.52584773,1.5868648,-0.6603266,-1.393311,0.09916905,-0.543866,-1.425229,-0.431027,-0.012668795,0.5137109,-1.6754365,1.1011062,0.47498587,1.0548967,0.6250731,-1.1686867,-0.1115117,-0.5992178,0.78203547,0.22732358,0.57947487,0.35784823,0.5393564,-1.0673743,1.041209,-1.0804654,-1.2968527,-1.0362225,2.6705573,0.17984751,-2.0956886,-0.25696287,0.25904027,-0.41496804,-0.008331158,-1.4186465,0.86534256,1.0231972,-0.54277176,0.6689054,-1.126229,2.2166467,-0.39221862,-0.5463025,2.5946028,0.8747101,0.22927071,0.49179778,-0.7206975,1.6830477,0.959385,-1.2038904,0.6575892,-0.39465517,0.91222423,0.2028436,1.5457236,-0.9811544,-1.7636714,-0.37841874,0.008997012,0.91162217,0.0019584128,0.4457378,0.16156098,-0.4746398,-0.296641,-0.2978462,0.2941715,0.026042351,1.8382325,2.4901164,-1.4436969,0.004312307,0.23108435,0.9449141,0.68013126,0.11700756,-1.3829834,-1.0637531,0.6360923,1.5542494,-0.9937958,-1.204855,-0.14417756,1.262055,0.025872203,0.36927733,0.80192536,1.1807684,-1.9400247,0.09519163,-0.09474244,0.3211324,-0.8130238,1.1938666,0.9788244,0.6936356,2.9749613,-0.49178696,-0.8194369,1.2941188,-1.1446325,0.4172507,-0.854362,-1.7210124,-1.4163833,0.41854396,0.39461273,-1.0123386,0.63887465,-0.9863061,-0.4379505,0.89509624,-0.6958479,0.15006152,-2.9402497,1.1654712,-1.5725119,-0.061975848
2024-09-12,AAPL,US,0.107695,-1.3094839,-0.29155412,-0.66362613,-0.49903435,-0.61412764,-0.33121654,0.6962534,-0.18930171,0.61764324,0.20096815,0.064845584,0.27437446,-0.009104475,-0.32197797,-0.34090185,-1.5931044,-0.012341796,0.23715115,-1.6303793,-1.056786,-0.26173836,1.3479362,1.4375437,0.04458591,-0.615031,0.114721164,0.8554202,-0.011950411,0.5213003,1.7416714,-0.72909236,-1.0716426,0.7066092,-1.2181377,-0.63538796,-0.88819516,1.1618829,0.26355547,0.4392908,-0.084848985,0.35995632,-0.6398852,0.5094234,-0.21663861,0.49857387,0.5161651,-0.52069664,0.8956329,-0.508433,0.8149918,-0.2948877,-0.84180737,1.2941364,0.22015792,0.8275169,-1.0357983,-1.8146838,0.7816688,0.13054362,0.04013124,1.788608,-0.49099168,0.2490482,0.7881419,0.37882757,-0.04310803,-0.81072026,-1.0337483,-0.3010047,-0.47036558,-1.3115191,0.83202547,0.44716248,0.22248694,0.38763827,0.84963,0.49230045,0.2144699,0.13093305,1.2827436,0.20649496,1.4318322,0.6686063,-0.5885836,0.21877408,-0.3621621,-0.119529486,-0.3927294,0.7076079,0.7304536,1.0184237,-0.23572081,0.9832928,-0.27097872,-0.37627733,1.1515033,1.2096993,0.55091834,-0.34221837,-1.3442818,-1.2125444,0.04448199,1.3872333,0.9859993,-0.4198348,-0.5845654,1.6132035,0.4659993,0.09990464,-0.5320582,-0.64313513,0.28913003,-0.38137558,-1.3382711,-0.8296022,0.33430916,-0.80339617,0.74293923,1.3610828,-0.50093925,-1.2370406,-0.5290517,-0.78747517,-0.34581003,-0.9083571,0.5071371,-0.9828933,0.48283696
2024-10-17,AAPL,US,-0.03991,0.5509027,-0.43453047,-0.8507097,-0.4224098,-0.77357036,0.014815398,-0.18060648,-0.42527395,-0.16565198,0.79301536,-0.26520053,-0.34049666,-0.3921059,-0.4202622,0.47819173,-0.08219292,0.40961275,-0.29258347,0.031028712,0.39722648,-0.2619163,0.009330811,0.81005985,-0.5467661,-0.6972036,-0.30472493,1.0437262,0.16514263,-0.56054854,0.40386167,0.36634058,-0.36670485,-0.60568315,-0.32944226,-0.09129897,-0.49923426,-0.05368444,-0.1739725,-0.37330124,-0.85744244,-0.15944584,-0.18024321,0.24159673,-0.6699211,0.16687137,-0.37111726,-0.336748,0.29374453,-0.7495792,0.68299204,-0.7915314,0.34487894,-0.058678586,0.5514338,0.120182954,0.448343,0.5283523,0.2750892,-0.07224546,-0.41369095,0.40813816,0.8357527,-0.28417358,0.51574385,-0.10729672,-0.4212284,-0.5589859,-0.6133564,-0.27290326,-0.26539212,-0.24887875,0.74425566,-0.2893674,-0.23398158,0.29388094,0.041192017,0.22636956,0.23327294,0.24758093,-0.07093434,-0.37873486,-0.4211099,0.5251502,-0.6604351,0.6693499,-0.133444,-0.005316447,0.056127403,-0.05288915,0.43717074,-0.24149893,0.37348738,-0.43481112,-0.09524458,0.023982849,-0.29350933,-0.8735088,-0.10356194,-0.11064635,0.94872653,-0.26519015,0.4714382,-0.4303622,0.04685315,0.44922778,0.15197666,0.39347467,0.19538552,-0.3056739,-0.15128022,0.23847333,-0.31047723,-0.2547266,-0.0639702,0.70525557,0.46227497,-0.12989499,0.05911343,0.85929096,-1.5514413,-0.24674006,-0.92545235,0.2895294,0.19688386,-0.21706206,-0.23986156,-0.8010059,-0.24681835
2024-11-21,AAPL,US,0.052968,0.29666188,0.44665864,0.17344832,0.38194972,0.26013193,0.6391119,0.12619351,0.45655295,-0.3818349,-0.22412308,0.4230261,0.5986571,-0.101301044,-0.23246554,1.2680961,-0.059676774,0.37232143,-0.2621432,0.72423977,-0.82046837,-0.25371128,0.45547602,-0.85770917,0.28581527,0.05948714,0.41021106,0.2518634,0.20862088,-0.19859546,0.31508046,-0.5520355,-0.4070498,-1.0660808,0.06619269,0.15005183,-0.49100843,-1.4083349,-0.48083553,0.4701233,-0.29993066,-0.27872753,-0.20514165,0.41717374,0.716453,-0.37356284,-0.76400787,-0.11149633,-0.2855433,-0.025661131,-0.22373033,-0.51214385,0.22643824,-1.4851763,-0.52099437,0.41399503,-0.5934148,1.0883083,-0.22420342,-0.934375,0.40282375,0.32834566,0.23951955,-0.16094337,0.38236457,-0.61257315,0.52992254,0.5649061,-0.61104524,0.40418252,-0.37488613,-0.5818608,0.61356795,0.03807564,0.21778457,0.3376026,0.2574831,-0.33903083,0.63911897,-0.6449177,-1.6923213,0.55420715,0.15423307,0.3133888,-0.83390117,0.34543929,-0.94066447,0.995271,0.8834834,-0.051991742,-0.070581704,1.0106472,0.3210562,-0.65131736,-1.0868382,-0.1855009,-0.27533358,-1.4728395,-0.9893688,0.3007767,-0.18527268,-0.0026203687,0.009656579,0.4743533,-0.68789166,-0.261421,-0.5870891,-1.0145453,0.4330473,0.36053464,-1.0090276,0.67265457,-0.43916297,-0.27840665,0.41452286,1.2721395,0.40521088,-0.14251028,-0.24422365,0.43520704,0.17930725,-0.3607965,-0.7414224,0.5192661,0.05155405,1.1280429,-1.264416,0.18287955,0.17380309
