date,ticker,market,outcome_future_63,tech_return_1d,tech_momentum_3d,tech_momentum_10d,tech_momentum_21d,tech_volatility_21d,tech_volume_sma_21d,tech_volume_ratio_21d,tech_volume_change_1d,tech_intraday_range_hl,tech_drawdown_from_peak_21d,tech_trend_slope_21d,tech_close_vs_sma_50,tech_close_vs_sma_150,tech_close_vs_sma_200,tech_sma_200_trend_20,tech_pct_above_52w_low,tech_pct_from_52w_high,tech_up_down_volume_ratio_50,tech_rsi_14,tech_atr_ratio_14,tech_macd_signal_diff,tech_bollinger_bandwidth_20,tech_historical_vol_ratio_63_21
2024-01-02,AAPL,US,-0.084968,-1.8232113,-1.2594793,-1.2241797,-0.5605359,-0.5385076,0.013741553,1.0393484,0.9269434,0.14466181,0.16209972,-0.25677812,-0.44570643,-0.5446509,-0.46152714,0.25987208,0.08657011,0.16209972,0.22733456,-1.456132,-0.68749356,-1.1412892,-0.7170949,-0.5975692
2024-02-07,AAPL,US,-0.033983,-0.030997632,0.46185976,-0.6436729,-0.045299184,-0.51871204,0.030607427,-0.13288896,0.16117658,-0.629486,0.3731023,-0.020223334,-0.44412866,-0.40851521,-0.44727358,-0.19212972,-0.3218808,0.3731023,-1.033425,-0.22833705,-0.50101256,-0.10748221,-0.44329095,-0.5185426
2024-03-14,AAPL,US,0.240061,0.47886905,-0.063348256,-0.92714256,-1.0631866,-0.6353475,0.099040985,0.248683,0.33554897,-0.61740667,-0.5329979,-1.2742499,-1.1574929,-1.0463626,-1.0921351,-0.6605336,-0.70273834,-0.5329979,-1.7094716,-1.5156231,-0.30992955,-0.224597,0.12911294,-0.18326555
2024-04-19,AAPL,US,0.359174,-0.66147155,-0.8732379,-0.6578916,-1.1989121,-0.084676646,0.07072593,0.2141955,0.54345137,-0.5510281,-0.9813217,-0.37737662,-1.174083,-1.3472455,-1.3367419,-1.1311218,-0.9771239,-0.9813217,-1.8018354,-0.8771167,-0.431708,-0.15637816,-0.6614846,-0.9566078
2024-05-24,AAPL,US,0.197194,0.7578354,-0.4717164,0.44269407,1.1292366,-0.01667681,0.07046431,-0.8603995,-0.40040192,-0.5970124,0.43301374,1.206651,0.77870965,-0.2618769,-0.3463555,-0.93159187,-0.6670179,0.43301374,0.35354993,0.86519176,-0.7798553,0.19888508,0.531487,-0.5971299
2024-07-02,AAPL,US,0.028156,0.7406797,0.74846464,0.08225706,1.4373739,0.3375552,0.29482776,-0.7153101,-0.12993413,0.10876002,0.86003524,1.0206199,1.6491691,0.8683386,0.65160596,-0.13358395,-0.25985387,0.86003524,3.1058123,0.636303,0.17728838,0.04318007,0.596009,-0.80067587
2024-08-07,AAPL,US,0.066193,0.5562932,-1.4606808,-0.87664944,-1.2696491,-0.0072491453,0.056401767,0.11806546,-0.18340787,0.8133439,-0.3204513,-1.4758208,-0.6205645,0.17346166,0.018734762,0.2553975,-0.40032443,-0.3204513,1.4539735,-1.6243374,0.75437266,-1.8542832,0.27684918,-0.4080223
2024-09-12,AAPL,US,0.107695,-0.035277244,0.14345938,-0.47832412,-0.21098813,-0.7834184,-0.082077034,-0.30080053,-0.2614096,-0.37238967,0.30321726,-0.42419943,-0.37089252,0.44321287,0.2686255,0.14093408,-0.22278169,0.30321726,0.93462574,-0.55347544,-0.23204121,-0.49392593,-0.821236,1.0427998
2024-10-17,AAPL,US,-0.03991,0.019038573,0.002722227,0.28754753,0.3245397,-0.25132048,0.017430872,-0.8472004,-0.12223474,-0.53214496,0.7466462,-0.008611465,0.08041112,0.45549715,0.42215362,-0.05228123,-0.09654863,0.7466462,-0.1734636,0.021771817,-0.38151225,0.33542028,-0.82131493,-0.49908718
2024-11-21,AAPL,US,0.052968,-0.16292268,-0.041232776,-0.10332702,-0.39361572,-0.69721174,-0.082911424,-0.07420633,0.12698367,-0.19067125,0.4985958,-0.3387424,-0.2906867,-0.08524858,0.10844779,0.01405825,-0.14201654,0.4985958,-1.0047616,0.4739125,-0.5738787,0.24090114,-0.7165784,0.26049873
2024-12-30,AAPL,US,-0.111276,-0.71325684,-0.7954987,0.07865074,0.5805486,-0.7091146,-0.05900024,-0.49091834,-0.26200682,-0.7611821,0.5680851,0.6418356,0.5270012,0.3444612,0.5644458,0.67635715,0.17701323,0.5680851,1.4435682,0.18925712,-0.56427777,-0.00825355,-0.34591025,-0.055913456
2024-01-02,ADBE,US,-0.14319,-1.4250422,-0.9028896,-0.33342886,-0.8920312,0.17155626,-0.4224961,-0.4137524,0.45571765,0.08297921,-0.077706516,-0.6196659,-0.54149544,0.0127559025,0.4658671,1.5404587,0.78756547,-0.077706516,-0.35294876,-1.5635562,0.01628194,-0.9361242,-0.3383509,-0.5072954
2024-02-07,ADBE,US,-0.207437,0.64734304,-0.9898517,0.062486023,0.4298266,-0.09818038,-0.42997685,-0.27054998,-0.44264185,-0.3768927,0.52971226,0.54906243,-0.09094868,0.16872628,0.4971,1.1426842,1.0348079,0.52971226,-0.76684576,0.13287267,0.2353665,0.04949362,-0.2901192,-0.2229197
2024-03-14,ADBE,US,-0.195828,-0.3259852,0.4245564,0.108327515,-0.9109856,0.6399164,-0.4182467,0.96272,0.6785206,-0.22900762,-0.26334035,-0.18104315,-0.7353582,-0.6071341,-0.444487,0.76850945,0.56665885,-0.26334035,-1.525402,0.12423725,0.059647787,1.0386047,-0.17289206,-0.77375686
2024-04-19,ADBE,US,0.19311,-0.90947324,-0.8038192,-0.90264446,-1.5279441,-0.6262966,-0.4228723,-0.12860447,0.3184889,0.44424,-2.105006,-1.286125,-2.105817,-2.02408,-1.7905189,-0.6870113,-0.1502645,-2.105006,-2.1444163,-2.0602963,-0.1313476,0.12898646,-0.071800634,3.1793482
2024-05-24,ADBE,US,0.176703,-0.86311084,-0.5014437,-0.44098613,-0.24154273,-0.53016305,-0.43036142,0.3779803,0.3364676,0.1204784,-1.9231627,-0.0198617,-0.6823167,-1.7715209,-1.6098518,-1.1248816,-0.53480583,-1.9231627,-1.7862141,-1.5325458,-0.3595366,0.2289347,-0.7019256,1.9864818
2024-07-02,ADBE,US,-0.114337,0.6179665,1.030183,1.4020646,2.987584,1.4946036,-0.41254327,-0.7362683,-0.09307476,-0.29798555,-0.31120288,2.5037198,1.9475682,-0.22920682,-0.39536846,-1.0728633,-0.35653672,-0.31120288,0.39436916,1.9093605,0.4544585,1.9846661,2.6707647,-1.1204576
