sample_id,market,ticker,sequence_start_date,sequence_end_date,target_252_maturity_date,split_cutoff_date,label_horizon_exceeds_cutoff,purged,status
SPL_00001,US,AAPL,2013-01-02,2013-04-01,2014-03-19,2020-12-31,0,0,RETAINED_TRAIN
SPL_00002,US,AAPL,2013-01-04,2013-04-03,2014-03-21,2020-12-31,0,0,RETAINED_TRAIN
SPL_00003,US,AAPL,2013-01-08,2013-04-05,2014-03-25,2020-12-31,0,0,RETAINED_TRAIN
SPL_00004,US,AAPL,2013-01-10,2013-04-09,2014-03-27,2020-12-31,0,0,RETAINED_TRAIN
SPL_00005,US,AAPL,2013-01-14,2013-04-11,2014-03-31,2020-12-31,0,0,RETAINED_TRAIN
SPL_00006,US,AAPL,2013-01-16,2013-04-15,2014-04-02,2020-12-31,0,0,RETAINED_TRAIN
SPL_00007,US,AAPL,2013-01-18,2013-04-17,2014-04-04,2020-12-31,0,0,RETAINED_TRAIN
SPL_00008,US,AAPL,2013-01-22,2013-04-19,2014-04-08,2020-12-31,0,0,RETAINED_TRAIN
SPL_00009,US,AAPL,2013-01-24,2013-04-23,2014-04-10,2020-12-31,0,0,RETAINED_TRAIN
SPL_00010,US,AAPL,2013-01-28,2013-04-25,2014-04-14,2020-12-31,0,0,RETAINED_TRAIN
SPL_00011,US,AAPL,2013-01-30,2013-04-29,2014-04-16,2020-12-31,0,0,RETAINED_TRAIN
SPL_00012,US,AAPL,2013-02-01,2013-05-01,2014-04-18,2020-12-31,0,0,RETAINED_TRAIN
SPL_00013,US,AAPL,2013-02-05,2013-05-03,2014-04-22,2020-12-31,0,0,RETAINED_TRAIN
SPL_00014,US,AAPL,2013-02-07,2013-05-07,2014-04-24,2020-12-31,0,0,RETAINED_TRAIN
SPL_00015,US,AAPL,2013-02-11,2013-05-09,2014-04-28,2020-12-31,0,0,RETAINED_TRAIN
SPL_00016,US,AAPL,2013-02-13,2013-05-13,2014-04-30,2020-12-31,0,0,RETAINED_TRAIN
SPL_00017,US,AAPL,2013-02-15,2013-05-15,2014-05-02,2020-12-31,0,0,RETAINED_TRAIN
SPL_00018,US,AAPL,2013-02-19,2013-05-17,2014-05-06,2020-12-31,0,0,RETAINED_TRAIN
SPL_00019,US,AAPL,2013-02-21,2013-05-21,2014-05-08,2020-12-31,0,0,RETAINED_TRAIN
SPL_00020,US,AAPL,2013-02-25,2013-05-23,2014-05-12,2020-12-31,0,0,RETAINED_TRAIN
SPL_00021,US,AAPL,2013-02-27,2013-05-27,2014-05-14,2020-12-31,0,0,RETAINED_TRAIN
SPL_00022,US,AAPL,2013-03-01,2013-05-29,2014-05-16,2020-12-31,0,0,RETAINED_TRAIN
SPL_00023,US,AAPL,2013-03-05,2013-05-31,2014-05-20,2020-12-31,0,0,RETAINED_TRAIN
SPL_00024,US,AAPL,2013-03-07,2013-06-04,2014-05-22,2020-12-31,0,0,RETAINED_TRAIN
SPL_00025,US,AAPL,2013-03-11,2013-06-06,2014-05-26,2020-12-31,0,0,RETAINED_TRAIN
SPL_00026,US,AAPL,2013-03-13,2013-06-10,2014-05-28,2020-12-31,0,0,RETAINED_TRAIN
SPL_00027,US,AAPL,2013-03-15,2013-06-12,2014-05-30,2020-12-31,0,0,RETAINED_TRAIN
SPL_00028,US,AAPL,2013-03-19,2013-06-14,2014-06-03,2020-12-31,0,0,RETAINED_TRAIN
SPL_00029,US,AAPL,2013-03-21,2013-06-18,2014-06-05,2020-12-31,0,0,RETAINED_TRAIN
SPL_00030,US,AAPL,2013-03-25,2013-06-20,2014-06-09,2020-12-31,0,0,RETAINED_TRAIN
SPL_00031,US,AAPL,2013-03-27,2013-06-24,2014-06-11,2020-12-31,0,0,RETAINED_TRAIN
SPL_00032,US,AAPL,2013-03-29,2013-06-26,2014-06-13,2020-12-31,0,0,RETAINED_TRAIN
SPL_00033,US,AAPL,2013-04-02,2013-06-28,2014-06-17,2020-12-31,0,0,RETAINED_TRAIN
SPL_00034,US,AAPL,2013-04-04,2013-07-02,2014-06-19,2020-12-31,0,0,RETAINED_TRAIN
SPL_00035,US,AAPL,2013-04-08,2013-07-04,2014-06-23,2020-12-31,0,0,RETAINED_TRAIN
SPL_00036,US,AAPL,2013-04-10,2013-07-08,2014-06-25,2020-12-31,0,0,RETAINED_TRAIN
SPL_00037,US,AAPL,2013-04-12,2013-07-10,2014-06-27,2020-12-31,0,0,RETAINED_TRAIN
SPL_00038,US,AAPL,2013-04-16,2013-07-12,2014-07-01,2020-12-31,0,0,RETAINED_TRAIN
SPL_00039,US,AAPL,2013-04-18,2013-07-16,2014-07-03,2020-12-31,0,0,RETAINED_TRAIN
SPL_00040,US,AAPL,2013-04-22,2013-07-18,2014-07-07,2020-12-31,0,0,RETAINED_TRAIN
SPL_00041,US,AAPL,2013-04-24,2013-07-22,2014-07-09,2020-12-31,0,0,RETAINED_TRAIN
SPL_00042,US,AAPL,2013-04-26,2013-07-24,2014-07-11,2020-12-31,0,0,RETAINED_TRAIN
SPL_00043,US,AAPL,2013-04-30,2013-07-26,2014-07-15,2020-12-31,0,0,RETAINED_TRAIN
SPL_00044,US,AAPL,2013-05-02,2013-07-30,2014-07-17,2020-12-31,0,0,RETAINED_TRAIN
SPL_00045,US,AAPL,2013-05-06,2013-08-01,2014-07-21,2020-12-31,0,0,RETAINED_TRAIN
SPL_00046,US,AAPL,2013-05-08,2013-08-05,2014-07-23,2020-12-31,0,0,RETAINED_TRAIN
SPL_00047,US,AAPL,2013-05-10,2013-08-07,2014-07-25,2020-12-31,0,0,RETAINED_TRAIN
