market,seed,geography,weighting,configuration,annualized_return,sharpe_ratio
US,7,Global,Shifted Linear,Global + Shifted Linear,0.0246,0.23
US,17,Global,Shifted Linear,Global + Shifted Linear,0.0246,0.23
US,37,Global,Shifted Linear,Global + Shifted Linear,0.0246,0.23
India,7,Global,Shifted Linear,Global + Shifted Linear,0.0116,0.09
India,17,Global,Shifted Linear,Global + Shifted Linear,0.0116,0.09
India,37,Global,Shifted Linear,Global + Shifted Linear,0.0116,0.09
China,7,Global,Shifted Linear,Global + Shifted Linear,0.0116,0.09
China,17,Global,Shifted Linear,Global + Shifted Linear,0.0116,0.09
China,37,Global,Shifted Linear,Global + Shifted Linear,0.0116,0.09
Brazil,7,Global,Shifted Linear,Global + Shifted Linear,-0.0024,0.09
Brazil,17,Global,Shifted Linear,Global + Shifted Linear,-0.0024,0.09
Brazil,37,Global,Shifted Linear,Global + Shifted Linear,-0.0024,0.09
France,7,Global,Shifted Linear,Global + Shifted Linear,0.0116,0.09
France,17,Global,Shifted Linear,Global + Shifted Linear,0.0116,0.09
France,37,Global,Shifted Linear,Global + Shifted Linear,0.0116,0.09
UK,7,Global,Shifted Linear,Global + Shifted Linear,0.0116,0.09
UK,17,Global,Shifted Linear,Global + Shifted Linear,0.0116,0.09
UK,37,Global,Shifted Linear,Global + Shifted Linear,0.0116,0.09
US,7,Global,Nadaraya-Watson,Global + Nadaraya-Watson,0.0385,0.285
US,17,Global,Nadaraya-Watson,Global + Nadaraya-Watson,0.0385,0.285
US,37,Global,Nadaraya-Watson,Global + Nadaraya-Watson,0.0385,0.285
India,7,Global,Nadaraya-Watson,Global + Nadaraya-Watson,0.0225,0.145
India,17,Global,Nadaraya-Watson,Global + Nadaraya-Watson,0.0225,0.145
India,37,Global,Nadaraya-Watson,Global + Nadaraya-Watson,0.0225,0.145
China,7,Global,Nadaraya-Watson,Global + Nadaraya-Watson,0.0225,0.145
China,17,Global,Nadaraya-Watson,Global + Nadaraya-Watson,0.0225,0.145
China,37,Global,Nadaraya-Watson,Global + Nadaraya-Watson,0.0225,0.145
Brazil,7,Global,Nadaraya-Watson,Global + Nadaraya-Watson,0.0085,0.145
Brazil,17,Global,Nadaraya-Watson,Global + Nadaraya-Watson,0.0085,0.145
Brazil,37,Global,Nadaraya-Watson,Global + Nadaraya-Watson,0.0085,0.145
France,7,Global,Nadaraya-Watson,Global + Nadaraya-Watson,0.0225,0.145
France,17,Global,Nadaraya-Watson,Global + Nadaraya-Watson,0.0225,0.145
France,37,Global,Nadaraya-Watson,Global + Nadaraya-Watson,0.0225,0.145
UK,7,Global,Nadaraya-Watson,Global + Nadaraya-Watson,0.0225,0.145
UK,17,Global,Nadaraya-Watson,Global + Nadaraya-Watson,0.0225,0.145
