trade_id,market,seed,system,query_ticker,decision_date,execution_date,neighbor_rank,neighbor_market,neighbor_ticker,neighbor_date,cosine_similarity,normalized_weight,realized_return_63d,realized_drawdown_63d
TRD_US_7_P0_001,US,7,P0,REGN,2024-04-03,2024-01-03,1,UK,OCDO.L,2014-02-04,0.99385,0.11368,-0.38961,-0.38961
TRD_US_7_P0_001,US,7,P0,REGN,2024-04-03,2024-01-03,2,UK,OCDO.L,2014-02-05,0.99354,0.10757,-0.39487,-0.40874
TRD_US_7_P0_001,US,7,P0,REGN,2024-04-03,2024-01-03,3,UK,OCDO.L,2014-02-03,0.99339,0.10461,-0.37116,-0.39408
TRD_US_7_P0_001,US,7,P0,REGN,2024-04-03,2024-01-03,4,UK,OCDO.L,2014-02-06,0.99313,0.09946,-0.41863,-0.43142
TRD_US_7_P0_001,US,7,P0,REGN,2024-04-03,2024-01-03,5,UK,OCDO.L,2014-02-10,0.99288,0.09438,-0.4025,-0.44411
TRD_US_7_P0_001,US,7,P0,REGN,2024-04-03,2024-01-03,6,UK,OCDO.L,2014-02-07,0.99285,0.09381,-0.40747,-0.43245
TRD_US_7_P0_001,US,7,P0,REGN,2024-04-03,2024-01-03,7,UK,OCDO.L,2014-01-30,0.9925,0.08696,-0.3633,-0.40599
TRD_US_7_P0_001,US,7,P0,REGN,2024-04-03,2024-01-03,8,UK,OCDO.L,2014-02-11,0.99221,0.08136,-0.42611,-0.44707
TRD_US_7_P0_001,US,7,P0,REGN,2024-04-03,2024-01-03,9,UK,OCDO.L,2014-01-31,0.99198,0.07668,-0.33595,-0.3935
TRD_US_7_P0_001,US,7,P0,REGN,2024-04-03,2024-01-03,10,France,AIR.PA,2019-12-18,0.98977,0.03316,-0.62466,-0.62466
TRD_US_7_P0_001,US,7,P0,REGN,2024-04-03,2024-01-03,11,France,AIR.PA,2019-12-17,0.98898,0.01748,-0.52061,-0.52061
TRD_US_7_P0_001,US,7,P0,REGN,2024-04-03,2024-01-03,12,US,NVDA,2018-10-02,0.98866,0.01118,-0.55279,-0.55597
TRD_US_7_P0_001,US,7,P0,REGN,2024-04-03,2024-01-03,13,China,601012.SS,2018-04-02,0.98864,0.01094,-0.37495,-0.37495
TRD_US_7_P0_001,US,7,P0,REGN,2024-04-03,2024-01-03,14,US,NVDA,2018-10-05,0.9886,0.00999,-0.48132,-0.52862
TRD_US_7_P0_001,US,7,P0,REGN,2024-04-03,2024-01-03,15,France,AIR.PA,2019-12-16,0.98855,0.00914,-0.46603,-0.46603
TRD_US_7_P0_001,US,7,P0,REGN,2024-04-03,2024-01-03,16,France,AIR.PA,2019-12-13,0.98854,0.00882,-0.40961,-0.4332
TRD_US_7_P0_001,US,7,P0,REGN,2024-04-03,2024-01-03,17,US,NVDA,2018-10-04,0.98853,0.00874,-0.48604,-0.54453
TRD_US_7_P0_001,US,7,P0,REGN,2024-04-03,2024-01-03,18,France,AIR.PA,2019-12-25,0.98839,0.00596,-0.54927,-0.63148
TRD_US_7_P0_001,US,7,P0,REGN,2024-04-03,2024-01-03,19,India,LT.NS,2020-02-25,0.98837,0.00556,-0.22814,-0.42207
TRD_US_7_P0_001,US,7,P0,REGN,2024-04-03,2024-01-03,20,China,601012.SS,2018-04-03,0.98836,0.00534,-0.36199,-0.37237
TRD_US_7_P0_001,US,7,P0,REGN,2024-04-03,2024-01-03,21,France,AIR.PA,2019-12-12,0.98833,0.00481,-0.42526,-0.42526
TRD_US_7_P0_001,US,7,P0,REGN,2024-04-03,2024-01-03,22,China,601012.SS,2018-03-30,0.98829,0.00399,-0.36354,-0.37504
TRD_US_7_P0_001,US,7,P0,REGN,2024-04-03,2024-01-03,23,US,NVDA,2018-09-26,0.98821,0.00232,-0.50809,-0.52343
TRD_US_7_P0_001,US,7,P0,REGN,2024-04-03,2024-01-03,24,France,AIR.PA,2019-12-19,0.9882,0.0021,-0.58928,-0.62494
TRD_US_7_P0_001,US,7,P0,REGN,2024-04-03,2024-01-03,25,China,002230.SZ,2015-06-25,0.98819,0.00197,-0.2683,-0.38893
TRD_US_7_P0_002,US,7,P0,ORCL,2024-04-03,2024-01-03,1,UK,OCDO.L,2014-02-04,0.9943,0.09696,-0.38961,-0.38961
TRD_US_7_P0_002,US,7,P0,ORCL,2024-04-03,2024-01-03,2,UK,OCDO.L,2014-02-05,0.99405,0.09239,-0.39487,-0.40874
TRD_US_7_P0_002,US,7,P0,ORCL,2024-04-03,2024-01-03,3,UK,OCDO.L,2014-02-03,0.99384,0.08845,-0.37116,-0.39408
TRD_US_7_P0_002,US,7,P0,ORCL,2024-04-03,2024-01-03,4,UK,OCDO.L,2014-02-06,0.99377,0.08724,-0.41863,-0.43142
TRD_US_7_P0_002,US,7,P0,ORCL,2024-04-03,2024-01-03,5,UK,OCDO.L,2014-02-10,0.99357,0.08351,-0.4025,-0.44411
TRD_US_7_P0_002,US,7,P0,ORCL,2024-04-03,2024-01-03,6,UK,OCDO.L,2014-02-07,0.99353,0.08278,-0.40747,-0.43245
TRD_US_7_P0_002,US,7,P0,ORCL,2024-04-03,2024-01-03,7,UK,OCDO.L,2014-02-11,0.99296,0.07209,-0.42611,-0.44707
TRD_US_7_P0_002,US,7,P0,ORCL,2024-04-03,2024-01-03,8,UK,OCDO.L,2014-01-30,0.99279,0.06904,-0.3633,-0.40599
TRD_US_7_P0_002,US,7,P0,ORCL,2024-04-03,2024-01-03,9,UK,OCDO.L,2014-01-31,0.99233,0.06054,-0.33595,-0.3935
TRD_US_7_P0_002,US,7,P0,ORCL,2024-04-03,2024-01-03,10,France,AIR.PA,2019-12-18,0.9915,0.04515,-0.62466,-0.62466
TRD_US_7_P0_002,US,7,P0,ORCL,2024-04-03,2024-01-03,11,France,AIR.PA,2019-12-17,0.99072,0.03075,-0.52061,-0.52061
TRD_US_7_P0_002,US,7,P0,ORCL,2024-04-03,2024-01-03,12,France,AIR.PA,2019-12-13,0.99032,0.02336,-0.40961,-0.4332
TRD_US_7_P0_002,US,7,P0,ORCL,2024-04-03,2024-01-03,13,France,AIR.PA,2019-12-16,0.99031,0.02318,-0.46603,-0.46603
TRD_US_7_P0_002,US,7,P0,ORCL,2024-04-03,2024-01-03,14,France,AIR.PA,2019-12-12,0.99021,0.02131,-0.42526,-0.42526
TRD_US_7_P0_002,US,7,P0,ORCL,2024-04-03,2024-01-03,15,China,601012.SS,2018-04-02,0.99012,0.01964,-0.37495,-0.37495
TRD_US_7_P0_002,US,7,P0,ORCL,2024-04-03,2024-01-03,16,France,AIR.PA,2019-12-25,0.99008,0.0188,-0.54927,-0.63148
TRD_US_7_P0_002,US,7,P0,ORCL,2024-04-03,2024-01-03,17,France,AIR.PA,2019-12-19,0.99002,0.01771,-0.58928,-0.62494
TRD_US_7_P0_002,US,7,P0,ORCL,2024-04-03,2024-01-03,18,China,601012.SS,2018-04-03,0.98996,0.01662,-0.36199,-0.37237
TRD_US_7_P0_002,US,7,P0,ORCL,2024-04-03,2024-01-03,19,France,AIR.PA,2019-12-11,0.98987,0.01495,-0.30887,-0.30887
TRD_US_7_P0_002,US,7,P0,ORCL,2024-04-03,2024-01-03,20,France,AIR.PA,2019-12-27,0.98968,0.01135,-0.45761,-0.63187
TRD_US_7_P0_002,US,7,P0,ORCL,2024-04-03,2024-01-03,21,France,AIR.PA,2020-01-27,0.98943,0.00681,-0.61573,-0.63081
TRD_US_7_P0_002,US,7,P0,ORCL,2024-04-03,2024-01-03,22,China,601012.SS,2018-03-28,0.98939,0.00598,-0.32685,-0.35645
TRD_US_7_P0_002,US,7,P0,ORCL,2024-04-03,2024-01-03,23,China,601012.SS,2018-03-30,0.98934,0.00511,-0.36354,-0.37504
TRD_US_7_P0_002,US,7,P0,ORCL,2024-04-03,2024-01-03,24,France,AIR.PA,2020-01-24,0.9893,0.00443,-0.62345,-0.64701
TRD_US_7_P0_002,US,7,P0,ORCL,2024-04-03,2024-01-03,25,China,601012.SS,2018-04-04,0.98916,0.00185,-0.3258,-0.34654
TRD_US_7_P0_003,US,7,P0,INTU,2024-04-03,2024-01-03,1,UK,OCDO.L,2014-02-11,0.99206,0.11618,-0.42611,-0.44707
TRD_US_7_P0_003,US,7,P0,INTU,2024-04-03,2024-01-03,2,UK,OCDO.L,2014-02-04,0.99158,0.10347,-0.38961,-0.38961
TRD_US_7_P0_003,US,7,P0,INTU,2024-04-03,2024-01-03,3,UK,OCDO.L,2014-02-05,0.99137,0.09774,-0.39487,-0.40874
