market,terminal_equity,annualized_return,sharpe_ratio,sortino_ratio,max_drawdown,trades,median_hold,path_id
US,125198.2,0.252,1.121,1.565,-0.1157,17,40.0,1
US,121537.98,0.2154,1.457,2.485,-0.0984,13,63.0,2
US,148684.48,0.4868,2.373,3.094,-0.0942,14,63.0,3
US,99641.71,-0.0036,0.092,0.121,-0.1728,19,34.0,4
US,179331.53,0.7933,2.843,4.917,-0.0676,12,63.0,5
US,118233.52,0.1823,1.033,1.25,-0.1758,15,63.0,6
US,169092.71,0.6909,2.384,3.791,-0.1315,12,63.0,7
US,121763.38,0.2176,1.063,1.731,-0.1007,15,63.0,8
US,147727.48,0.4773,1.719,2.819,-0.1541,17,63.0,9
US,136788.58,0.3679,1.922,2.994,-0.0865,13,63.0,10
US,137147.72,0.3715,1.727,2.617,-0.1179,16,39.5,11
US,127828.07,0.2783,1.269,1.625,-0.1556,17,40.0,12
US,108913.65,0.0891,0.535,0.703,-0.1512,18,37.0,13
US,116947.31,0.1695,0.969,1.162,-0.1123,16,37.0,14
US,112844.92,0.1284,0.696,0.867,-0.1243,16,56.0,15
US,103772.58,0.0377,0.303,0.38,-0.2116,17,52.0,16
US,99953.29,-0.0005,0.092,0.132,-0.1059,16,51.5,17
US,150785.5,0.5079,2.001,3.597,-0.1251,14,63.0,18
US,132175.42,0.3218,1.278,1.954,-0.1389,14,56.5,19
US,100730.07,0.0073,0.138,0.19,-0.1242,15,42.0,20
US,102221.87,0.0222,0.218,0.341,-0.1125,16,40.0,21
US,151464.1,0.5146,2.449,3.885,-0.0844,13,63.0,22
US,127125.26,0.2713,1.449,2.198,-0.0804,13,63.0,23
US,142778.65,0.4278,1.756,2.472,-0.1524,14,53.0,24
US,102053.06,0.0205,0.209,0.264,-0.155,15,30.0,25
US,89993.38,-0.1001,-0.467,-0.603,-0.1628,18,34.0,26
US,141531.68,0.4153,1.711,2.461,-0.1151,15,63.0,27
US,113535.38,0.1354,0.766,0.942,-0.1253,15,63.0,28
US,146484.54,0.4648,2.129,3.261,-0.1063,13,63.0,29
US,164455.07,0.6446,2.222,3.926,-0.111,13,63.0,30
US,139629.81,0.3963,2.019,3.269,-0.0885,14,63.0,31
US,131702.12,0.317,1.728,2.663,-0.0682,14,63.0,32
US,113222.54,0.1322,0.697,0.929,-0.145,18,36.0,33
US,93970.42,-0.0603,-0.137,-0.193,-0.2634,19,31.0,34
US,138495.37,0.385,1.724,2.813,-0.1015,14,47.0,35
US,111670.76,0.1167,0.671,0.91,-0.1321,14,57.5,36
US,120454.51,0.2045,0.998,1.404,-0.1512,13,63.0,37
US,140729.69,0.4073,1.947,3.214,-0.1,13,63.0,38
US,116477.9,0.1648,0.939,1.34,-0.139,13,63.0,39
US,100272.29,0.0027,0.117,0.163,-0.1535,15,63.0,40
US,98641.8,-0.0136,0.061,0.069,-0.1645,18,37.5,41
US,117866.13,0.1787,0.818,1.219,-0.1339,16,47.0,42
US,155210.11,0.5521,2.227,3.96,-0.0985,16,53.0,43
US,155093.66,0.5509,1.976,3.142,-0.1155,16,44.0,44
US,105528.14,0.0553,0.377,0.501,-0.1867,13,63.0,45
US,136660.7,0.3666,1.512,2.552,-0.1186,15,63.0,46
US,113350.34,0.1335,0.733,0.943,-0.1587,15,53.0,47
US,124490.65,0.2449,1.242,1.721,-0.1266,17,49.0,48
US,123136.95,0.2314,1.207,1.661,-0.1323,16,46.0,49
US,132971.16,0.3297,1.51,2.18,-0.0733,15,63.0,50
US,143876.86,0.4388,1.749,3.044,-0.1119,15,54.0,51
US,130037.66,0.3004,1.636,2.359,-0.077,13,63.0,52
US,143717.64,0.4372,1.77,2.79,-0.1136,16,55.5,53
US,177304.36,0.773,2.487,4.914,-0.0892,13,60.0,54
US,143015.7,0.4302,1.607,2.814,-0.1809,15,57.0,55
US,133428.34,0.3343,1.429,1.989,-0.2048,15,52.0,56
US,127938.89,0.2794,1.339,2.044,-0.1249,16,59.5,57
US,95401.97,-0.046,-0.169,-0.207,-0.1334,15,49.0,58
US,127024.48,0.2702,1.349,1.933,-0.127,15,57.0,59
US,123639.9,0.2364,1.528,1.894,-0.0732,13,63.0,60
US,131441.65,0.3144,1.584,2.237,-0.0716,14,56.5,61
US,102040.41,0.0204,0.206,0.27,-0.1558,16,44.5,62
US,122932.16,0.2293,1.093,1.541,-0.1411,17,44.0,63
US,139190.45,0.3919,2.151,3.189,-0.0574,12,63.0,64
US,117482.61,0.1748,1.025,1.486,-0.0769,15,63.0,65
US,122892.52,0.2289,1.052,1.631,-0.131,14,59.5,66
US,140443.46,0.4044,1.721,3.013,-0.087,15,49.0,67
US,164910.4,0.6491,2.081,3.388,-0.1601,18,33.0,68
US,152184.1,0.5218,2.024,2.996,-0.17,17,38.0,69
US,124197.87,0.242,1.136,1.896,-0.1315,17,47.0,70
US,118084.29,0.1808,0.953,1.363,-0.154,15,63.0,71
US,113980.56,0.1398,0.795,1.059,-0.1089,17,38.0,72
US,116900.05,0.169,0.917,1.193,-0.0847,13,58.0,73
US,125056.41,0.2506,1.207,1.848,-0.1259,16,42.0,74
US,154877.4,0.5488,1.822,3.157,-0.1289,14,60.0,75
US,127425.05,0.2743,1.254,1.898,-0.1104,14,52.0,76
US,116371.31,0.1637,0.883,1.271,-0.0918,16,56.5,77
US,148048.66,0.4805,1.887,3.686,-0.1181,15,54.0,78
US,130397.84,0.304,1.727,2.122,-0.0787,13,63.0,79
US,136103.13,0.361,1.462,2.361,-0.1647,15,54.0,80
US,152274.78,0.5227,2.039,3.309,-0.1242,14,55.5,81
US,116587.03,0.1659,0.818,1.112,-0.1253,16,46.0,82
US,137842.07,0.3784,1.717,2.749,-0.1237,14,63.0,83
US,109582.45,0.0958,0.565,0.861,-0.1363,15,51.0,84
US,103524.15,0.0352,0.273,0.376,-0.1562,17,37.0,85
US,129998.19,0.3,1.463,2.391,-0.1296,12,63.0,86
US,96394.64,-0.0361,-0.097,-0.13,-0.1526,15,63.0,87
US,126037.96,0.2604,1.087,1.96,-0.1298,16,49.0,88
US,120485.37,0.2049,1.08,1.76,-0.0956,17,37.0,89
US,139805.03,0.3981,1.54,2.766,-0.1355,14,52.5,90
US,155612.65,0.5561,1.991,2.561,-0.1555,14,63.0,91
US,126428.72,0.2643,1.095,1.805,-0.1667,16,48.5,92
US,129401.73,0.294,1.394,2.086,-0.1218,15,60.0,93
US,104011.13,0.0401,0.344,0.467,-0.1062,16,60.0,94
US,130908.13,0.3091,1.665,2.919,-0.0764,15,63.0,95
US,102157.53,0.0216,0.21,0.297,-0.1495,17,32.0,96
US,129273.85,0.2927,1.199,1.922,-0.1396,16,46.0,97
US,102670.13,0.0267,0.237,0.344,-0.1422,15,47.0,98
US,106953.0,0.0695,0.516,0.809,-0.0891,14,63.0,99
US,127334.43,0.2733,1.476,2.285,-0.0979,13,63.0,100
US,106763.91,0.0676,0.479,0.686,-0.1105,14,60.5,101
US,108518.88,0.0852,0.48,0.696,-0.1372,18,32.0,102
US,146768.85,0.4677,1.704,2.553,-0.1388,15,63.0,103
US,116175.42,0.1618,0.819,1.186,-0.1306,16,41.5,104
US,121609.11,0.2161,1.112,1.832,-0.0957,15,58.0,105
US,107405.56,0.0741,0.493,0.677,-0.1487,17,36.0,106
US,103330.47,0.0333,0.289,0.405,-0.1147,14,63.0,107
US,96110.14,-0.0389,-0.128,-0.174,-0.1405,20,31.0,108
US,123253.79,0.2325,1.01,1.613,-0.1838,17,48.0,109
US,124588.99,0.2459,1.186,1.37,-0.1205,17,45.0,110
US,122747.58,0.2275,0.945,1.372,-0.1849,17,38.0,111
US,121101.33,0.211,1.215,1.907,-0.1016,14,45.5,112
US,148138.48,0.4814,2.128,4.043,-0.086,14,57.5,113
US,127812.73,0.2781,1.572,2.47,-0.0784,11,63.0,114
US,151595.18,0.516,2.136,2.861,-0.1154,13,63.0,115
US,143555.36,0.4356,1.554,2.336,-0.1585,17,43.0,116
US,148003.7,0.48,1.869,3.393,-0.0995,13,63.0,117
US,127797.11,0.278,1.205,1.675,-0.1384,16,55.5,118
US,133714.79,0.3371,1.627,2.492,-0.0779,14,63.0,119
US,111407.0,0.1141,0.591,0.794,-0.1425,18,35.0,120
US,119320.48,0.1932,1.235,1.621,-0.0702,14,63.0,121
US,148376.46,0.4838,2.047,3.659,-0.083,14,56.5,122
US,147109.03,0.4711,2.206,3.3,-0.0709,14,56.0,123
US,153756.84,0.5376,2.271,3.274,-0.1161,15,63.0,124
US,105766.86,0.0577,0.379,0.582,-0.1161,16,44.5,125
US,105272.84,0.0527,0.357,0.513,-0.1562,18,38.0,126
US,112462.32,0.1246,0.77,1.055,-0.1173,16,55.0,127
US,120269.58,0.2027,1.07,1.399,-0.1339,15,45.0,128
US,121948.65,0.2195,1.148,1.629,-0.1218,13,63.0,129
US,146779.03,0.4678,2.342,3.719,-0.0632,11,63.0,130
US,114706.66,0.1471,0.87,1.317,-0.1118,16,50.0,131
US,118147.98,0.1815,0.883,1.152,-0.1414,15,49.0,132
US,133256.69,0.3326,1.515,2.432,-0.094,16,59.5,133
US,118302.25,0.183,0.896,1.458,-0.1535,15,54.0,134
US,123878.02,0.2388,1.148,1.985,-0.1262,16,42.0,135
US,114899.38,0.149,0.941,1.316,-0.1564,15,63.0,136
US,116553.61,0.1655,0.859,1.126,-0.1122,15,47.0,137
US,124020.96,0.2402,1.281,2.058,-0.1336,14,63.0,138
US,125444.99,0.2544,1.188,1.792,-0.1557,17,44.0,139
US,110468.35,0.1047,0.763,1.203,-0.078,15,49.0,140
US,124896.63,0.249,1.318,1.792,-0.0844,14,63.0,141
US,138155.32,0.3816,1.84,2.897,-0.1011,15,58.0,142
US,128427.02,0.2843,1.396,2.392,-0.1126,14,47.0,143
US,112965.5,0.1297,0.731,0.814,-0.183,15,59.0,144
US,122358.82,0.2236,1.076,1.687,-0.139,19,29.0,145
