market,seed,market_beta_P6,market_alpha_ann,market_r2,market_p_value,momentum_beta_P4,momentum_alpha_ann,momentum_r2
US,7,0.544,19.87,0.344,0.0,0.33,30.23,0.186
US,17,0.425,6.19,0.27,0.0,0.28,13.91,0.172
US,37,0.66,16.31,0.386,0.0,0.454,27.93,0.268
India,7,1.02,-5.09,0.53,0.0,0.489,7.13,0.334
India,17,0.996,-0.63,0.514,0.0,0.487,11.24,0.337
India,37,1.11,3.04,0.56,0.0,0.543,16.28,0.366
China,7,0.953,-0.77,0.756,0.0,0.641,-3.21,0.435
China,17,0.909,4.53,0.775,0.0,0.629,1.69,0.471
China,37,0.947,1.11,0.775,0.0,0.635,-1.23,0.442
Brazil,7,1.157,0.59,0.602,0.0,0.537,-19.58,0.218
Brazil,17,1.309,-0.22,0.665,0.0,0.624,-23.19,0.254
Brazil,37,0.967,-10.68,0.552,0.0,0.452,-27.56,0.204
France,7,1.185,-11.18,0.453,0.0,0.772,-9.9,0.46
France,17,1.04,5.08,0.475,0.0,0.558,5.37,0.328
France,37,1.223,12.01,0.433,0.0,0.745,12.97,0.384
UK,7,1.017,2.16,0.363,0.0,0.486,6.41,0.27
UK,17,1.223,-25.1,0.398,0.0,0.466,-22.22,0.188
UK,37,1.316,-14.52,0.361,0.0,0.623,-9.14,0.263
