system,system_label,condition,annualized_return_pct,annualized_return_se,delta_return_bps,sharpe_ratio,sharpe_se,delta_sharpe,max_drawdown_pct,annualized_turnover,changed_trade_pct,trade_count,median_holding_days
P0,Primary P0 (Global Learned Memory),Baseline Replay,1.05,4.68,0,0.155,0.237,0.0,-19.38,11.2,0.0,18.6,43.2
P0,Primary P0 (Global Learned Memory),Provenance-Only Negative Control,1.05,4.68,0,0.155,0.237,0.0,-19.38,11.2,0.0,18.6,43.2
P0,Primary P0 (Global Learned Memory),Top-3 Precedent Occlusion,0.4,4.73,-65,0.117,0.237,-0.038,-19.93,11.09,14.1,18.6,43.0
P0,Primary P0 (Global Learned Memory),Same-Date Cross-Candidate Bundle Swap,-0.9,4.31,-195,0.02,0.225,-0.135,-20.8,10.64,87.2,17.1,48.1
P0,Primary P0 (Global Learned Memory),Matched Random Precedent Replacement,0.2,4.4,-85,0.103,0.218,-0.052,-20.08,10.98,56.1,18.4,43.5
P0*,Exploratory P0* (Domestic Guardrail),Baseline Replay,3.75,4.96,0,0.275,0.252,0.0,-18.12,10.85,0.0,18.3,44.7
P0*,Exploratory P0* (Domestic Guardrail),Provenance-Only Negative Control,3.75,4.96,0,0.275,0.252,0.0,-18.12,10.85,0.0,18.3,44.7
P0*,Exploratory P0* (Domestic Guardrail),Top-3 Precedent Occlusion,3.19,5.01,-56,0.243,0.252,-0.032,-18.67,10.74,12.9,18.3,44.5
P0*,Exploratory P0* (Domestic Guardrail),Same-Date Cross-Candidate Bundle Swap,1.94,4.56,-181,0.147,0.239,-0.128,-19.54,10.31,85.8,16.8,49.6
P0*,Exploratory P0* (Domestic Guardrail),Matched Random Precedent Replacement,3.04,4.66,-71,0.229,0.232,-0.046,-18.82,10.63,53.5,18.1,44.9
