system,holding_day,n_at_risk,events_total,events_stop,events_max_horizon,censored_calendar,survival_prob,greenwood_se,ci_95_lower,ci_95_upper
P0,1,335,0,0,0,0,1.0,0.0,1.0,1.0
P0,2,335,0,0,0,0,1.0,0.0,1.0,1.0
P0,3,335,0,0,0,0,1.0,0.0,1.0,1.0
P0,4,335,1,1,0,0,0.99701,0.00298,0.979,0.99958
P0,5,334,0,0,0,3,0.99701,0.00298,0.979,0.99958
P0,6,331,0,0,0,0,0.99701,0.00298,0.979,0.99958
P0,7,331,0,0,0,4,0.99701,0.00298,0.979,0.99958
P0,8,327,9,9,0,1,0.96957,0.00947,0.94419,0.98351
P0,9,317,6,6,0,2,0.95122,0.01189,0.92161,0.96983
P0,10,309,0,0,0,1,0.95122,0.01189,0.92161,0.96983
P0,11,308,4,4,0,2,0.93887,0.01325,0.90684,0.96013
P0,12,302,5,5,0,0,0.92332,0.01474,0.88862,0.94753
P0,13,297,6,6,0,2,0.90467,0.01629,0.86719,0.93199
P0,14,289,1,1,0,0,0.90154,0.01653,0.86363,0.92934
P0,15,288,4,4,0,0,0.88902,0.01745,0.84948,0.91867
P0,16,284,3,3,0,0,0.87963,0.01809,0.83895,0.91058
P0,17,281,5,5,0,1,0.86398,0.01907,0.82156,0.89695
P0,18,275,2,2,0,2,0.85769,0.01944,0.81462,0.89143
P0,19,271,4,4,0,0,0.84503,0.02016,0.8007,0.88025
P0,20,267,5,5,0,1,0.82921,0.02099,0.78342,0.86615
P0,21,261,2,2,0,3,0.82286,0.0213,0.77652,0.86045
P0,22,256,4,4,0,0,0.81,0.02192,0.76259,0.84888
P0,23,252,3,3,0,1,0.80036,0.02235,0.7522,0.84016
P0,24,248,5,5,0,1,0.78422,0.02304,0.73489,0.82547
P0,25,242,4,4,0,3,0.77126,0.02355,0.72105,0.81361
P0,26,235,1,1,0,1,0.76797,0.02368,0.71756,0.8106
P0,27,233,6,6,0,0,0.7482,0.02441,0.69655,0.79239
P0,28,227,7,7,0,0,0.72513,0.02516,0.67223,0.77097
P0,29,220,4,4,0,1,0.71194,0.02555,0.65841,0.75865
P0,30,215,8,8,0,2,0.68545,0.02626,0.6308,0.73376
P0,31,205,7,7,0,0,0.66205,0.02682,0.60655,0.71162
P0,32,198,6,6,0,0,0.64198,0.02723,0.58589,0.69253
P0,33,192,4,4,0,0,0.62861,0.02747,0.57218,0.67974
P0,34,188,4,4,0,1,0.61523,0.02768,0.55852,0.66691
P0,35,183,5,5,0,0,0.59842,0.02793,0.5414,0.65073
P0,36,178,0,0,0,2,0.59842,0.02793,0.5414,0.65073
P0,37,176,5,5,0,0,0.58142,0.02815,0.52414,0.63431
P0,38,171,7,7,0,0,0.55762,0.0284,0.5001,0.61121
P0,39,164,2,2,0,0,0.55082,0.02846,0.49326,0.60459
P0,40,162,1,1,0,0,0.54742,0.02849,0.48985,0.60127
P0,41,161,3,3,0,0,0.53722,0.02856,0.47961,0.59131
P0,42,158,4,4,0,0,0.52362,0.02863,0.46601,0.57798
P0,43,154,0,0,0,2,0.52362,0.02863,0.46601,0.57798
P0,44,152,2,2,0,2,0.51673,0.02867,0.45912,0.57122
P0,45,148,9,9,0,1,0.48531,0.02877,0.42783,0.54031
P0,46,138,4,4,0,0,0.47124,0.02879,0.41389,0.5264
P0,47,134,5,5,0,0,0.45366,0.02877,0.39653,0.50895
P0,48,129,1,1,0,2,0.45014,0.02876,0.39307,0.50545
P0,49,126,2,2,0,0,0.443,0.02874,0.38604,0.49835
P0,50,124,4,4,0,0,0.42871,0.02869,0.37201,0.4841
P0,51,120,0,0,0,0,0.42871,0.02869,0.37201,0.4841
P0,52,120,2,2,0,3,0.42156,0.02865,0.36501,0.47695
P0,53,115,1,1,0,1,0.4179,0.02864,0.36142,0.47329
P0,54,113,0,0,0,0,0.4179,0.02864,0.36142,0.47329
P0,55,113,1,1,0,4,0.4142,0.02862,0.35779,0.4696
P0,56,108,1,1,0,0,0.41036,0.02861,0.35402,0.46579
P0,57,107,0,0,0,1,0.41036,0.02861,0.35402,0.46579
P0,58,106,1,1,0,0,0.40649,0.0286,0.35021,0.46194
P0,59,105,2,2,0,0,0.39875,0.02858,0.3426,0.45423
P0,60,103,0,0,0,0,0.39875,0.02858,0.3426,0.45423
P0,61,103,2,2,0,1,0.39101,0.02854,0.33502,0.44649
P0,62,100,1,1,0,0,0.3871,0.02852,0.33119,0.44259
P0,63,99,99,0,99,0,0.0,0.0,0.0,0.0
P0*,1,330,0,0,0,0,1.0,0.0,1.0,1.0
P0*,2,330,0,0,0,0,1.0,0.0,1.0,1.0
P0*,3,330,0,0,0,0,1.0,0.0,1.0,1.0
P0*,4,330,0,0,0,0,1.0,0.0,1.0,1.0
P0*,5,330,0,0,0,5,1.0,0.0,1.0,1.0
P0*,6,325,1,1,0,0,0.99692,0.00307,0.97836,0.99957
P0*,7,324,0,0,0,3,0.99692,0.00307,0.97836,0.99957
P0*,8,321,9,9,0,0,0.96897,0.00966,0.9431,0.98318
P0*,9,312,7,7,0,1,0.94723,0.01246,0.91648,0.96686
P0*,10,304,0,0,0,1,0.94723,0.01246,0.91648,0.96686
P0*,11,303,3,3,0,2,0.93785,0.01346,0.90533,0.95946
P0*,12,298,3,3,0,0,0.92841,0.01438,0.89423,0.95184
P0*,13,295,7,7,0,2,0.90638,0.01628,0.86882,0.9336
P0*,14,286,1,1,0,2,0.90321,0.01652,0.86521,0.93093
P0*,15,283,3,3,0,0,0.89364,0.01725,0.85434,0.92281
P0*,16,280,2,2,0,0,0.88726,0.01771,0.84714,0.91736
P0*,17,278,5,5,0,0,0.8713,0.01877,0.82929,0.90357
P0*,18,273,3,3,0,2,0.86172,0.01936,0.81867,0.89521
P0*,19,268,3,3,0,0,0.85208,0.01993,0.80803,0.88673
P0*,20,265,4,4,0,1,0.83921,0.02064,0.79392,0.87534
P0*,21,260,1,1,0,3,0.83599,0.02081,0.79039,0.87247
P0*,22,256,5,5,0,0,0.81966,0.02165,0.7726,0.85788
P0*,23,251,2,2,0,1,0.81313,0.02196,0.76552,0.85201
P0*,24,248,3,3,0,1,0.80329,0.02242,0.75489,0.84313
P0*,25,244,6,6,0,3,0.78354,0.02327,0.73368,0.82519
P0*,26,235,1,1,0,1,0.7802,0.02341,0.7301,0.82215
P0*,27,233,4,4,0,1,0.76681,0.02395,0.71579,0.8099
P0*,28,228,9,9,0,0,0.73654,0.02504,0.6837,0.78199
P0*,29,219,5,5,0,0,0.71973,0.02557,0.66601,0.76634
P0*,30,214,9,9,0,1,0.68946,0.02641,0.63441,0.73796
P0*,31,204,9,9,0,0,0.65904,0.02712,0.60292,0.70919
P0*,32,195,6,6,0,0,0.63876,0.02752,0.58207,0.68987
P0*,33,189,3,3,0,0,0.62862,0.0277,0.57169,0.68017
P0*,34,186,5,5,0,1,0.61172,0.02797,0.55445,0.66394
P0*,35,180,2,2,0,0,0.60493,0.02807,0.54753,0.6574
P0*,36,178,0,0,0,2,0.60493,0.02807,0.54753,0.6574
P0*,37,176,3,3,0,0,0.59462,0.02821,0.53704,0.64747
P0*,38,173,6,6,0,0,0.57399,0.02846,0.51615,0.62752
P0*,39,167,3,3,0,0,0.56368,0.02857,0.50574,0.61751
P0*,40,164,0,0,0,1,0.56368,0.02857,0.50574,0.61751
P0*,41,163,4,4,0,0,0.54985,0.02869,0.49182,0.60405
P0*,42,159,2,2,0,0,0.54293,0.02874,0.48487,0.5973
P0*,43,157,1,1,0,1,0.53947,0.02877,0.4814,0.59392
P0*,44,155,1,1,0,2,0.53599,0.02879,0.47791,0.59052
