comparison,block_length_L,actual_delta_sharpe,ci_95,p_value,fdr_q_value
P0* vs P1,5,0.0108,"[-0.1515, 0.1795]",0.8718,0.9422
P0* vs P1,10,0.0108,"[-0.1579, 0.1782]",0.8714,0.9422
P0* vs P1,21,0.0108,"[-0.1795, 0.1595]",0.9422,0.9422
P0* vs P1,63,0.0108,"[-0.1848, 0.0701]",0.3702,0.6557
P0* vs P0,5,0.1175,"[-0.0417, 0.2624]",0.157,0.3388
P0* vs P0,10,0.1175,"[-0.0339, 0.2531]",0.1332,0.3388
P0* vs P0,21,0.1175,"[-0.0435, 0.2522]",0.1694,0.3388
P0* vs P0,63,0.1175,"[-0.0310, 0.2175]",0.1414,0.3388
P0* vs P4,5,-0.0965,"[-0.5526, 0.2431]",0.4378,0.6557
P0* vs P4,10,-0.0965,"[-0.5452, 0.2449]",0.4508,0.6557
P0* vs P4,21,-0.0965,"[-0.4433, 0.2478]",0.5616,0.7488
P0* vs P4,63,-0.0965,"[-0.3252, 0.2798]",0.9002,0.9422
P0* vs P6,5,-0.2304,"[-0.6675, -0.0229]",0.0338,0.1352
P0* vs P6,10,-0.2304,"[-0.6807, -0.0387]",0.0308,0.1352
P0* vs P6,21,-0.2304,"[-0.6276, -0.0538]",0.0236,0.1352
P0* vs P6,63,-0.2304,"[-0.5824, -0.0630]",0.016,0.1352
