rung_id,rung_name,market,seed,dimension,metric_geometry,annualized_return,sharpe_ratio,max_drawdown,trade_count,median_holding_days,win_rate,annualized_turnover
1,Single-Session Raw kNN,US,7,23,Raw Euclidean (23-d),0.0695,0.477,-0.1688,21,26.0,0.429,11.45
1,Single-Session Raw kNN,US,17,23,Raw Euclidean (23-d),0.0973,0.75,-0.1429,19,38.0,0.474,11.45
1,Single-Session Raw kNN,US,37,23,Raw Euclidean (23-d),0.3674,1.748,-0.1491,17,60.0,0.471,11.45
1,Single-Session Raw kNN,India,7,23,Raw Euclidean (23-d),0.2431,1.494,-0.0677,14,63.0,0.714,11.45
1,Single-Session Raw kNN,India,17,23,Raw Euclidean (23-d),0.2112,1.39,-0.1009,14,63.0,0.643,11.45
1,Single-Session Raw kNN,India,37,23,Raw Euclidean (23-d),0.2423,1.589,-0.0771,14,63.0,0.714,11.45
1,Single-Session Raw kNN,China,7,23,Raw Euclidean (23-d),0.2528,1.079,-0.155,20,30.5,0.45,11.45
1,Single-Session Raw kNN,China,17,23,Raw Euclidean (23-d),0.1119,0.58,-0.176,18,34.5,0.333,11.45
1,Single-Session Raw kNN,China,37,23,Raw Euclidean (23-d),0.2361,1.014,-0.1733,18,37.5,0.389,11.45
1,Single-Session Raw kNN,Brazil,7,23,Raw Euclidean (23-d),-0.1637,-0.637,-0.2422,21,39.0,0.286,11.45
1,Single-Session Raw kNN,Brazil,17,23,Raw Euclidean (23-d),-0.2623,-1.113,-0.2935,24,26.5,0.208,11.45
1,Single-Session Raw kNN,Brazil,37,23,Raw Euclidean (23-d),-0.2464,-1.264,-0.2625,22,30.5,0.227,11.45
1,Single-Session Raw kNN,France,7,23,Raw Euclidean (23-d),-0.1212,-0.349,-0.2981,21,36.0,0.381,11.45
1,Single-Session Raw kNN,France,17,23,Raw Euclidean (23-d),0.0219,0.209,-0.2439,17,45.0,0.471,11.45
1,Single-Session Raw kNN,France,37,23,Raw Euclidean (23-d),-0.0066,0.107,-0.2631,21,32.0,0.429,11.45
1,Single-Session Raw kNN,UK,7,23,Raw Euclidean (23-d),-0.1038,-0.537,-0.1329,17,45.0,0.412,11.45
1,Single-Session Raw kNN,UK,17,23,Raw Euclidean (23-d),-0.2755,-1.551,-0.2897,22,32.0,0.364,11.45
1,Single-Session Raw kNN,UK,37,23,Raw Euclidean (23-d),-0.2848,-1.537,-0.3,22,30.5,0.182,11.45
2,Annual Summary kNN,US,7,46,Moments Euclidean (46-d),0.2397,1.228,-0.1688,19,38.0,0.41,11.35
2,Annual Summary kNN,US,17,46,Moments Euclidean (46-d),0.1704,1.089,-0.15,19,38.0,0.41,11.35
2,Annual Summary kNN,US,37,46,Moments Euclidean (46-d),0.2896,1.215,-0.15,19,38.0,0.41,11.35
2,Annual Summary kNN,India,7,46,Moments Euclidean (46-d),0.1582,1.072,-0.15,19,38.0,0.41,11.35
2,Annual Summary kNN,India,17,46,Moments Euclidean (46-d),0.1729,1.115,-0.15,19,38.0,0.41,11.35
2,Annual Summary kNN,India,37,46,Moments Euclidean (46-d),0.2203,1.352,-0.15,19,38.0,0.41,11.35
2,Annual Summary kNN,China,7,46,Moments Euclidean (46-d),0.2178,0.835,-0.155,19,38.0,0.41,11.35
2,Annual Summary kNN,China,17,46,Moments Euclidean (46-d),0.0907,0.44,-0.176,19,38.0,0.41,11.35
2,Annual Summary kNN,China,37,46,Moments Euclidean (46-d),0.2047,0.844,-0.1733,19,38.0,0.41,11.35
2,Annual Summary kNN,Brazil,7,46,Moments Euclidean (46-d),-0.1454,-0.688,-0.2422,19,38.0,0.41,11.35
2,Annual Summary kNN,Brazil,17,46,Moments Euclidean (46-d),-0.2297,-1.025,-0.2935,19,38.0,0.41,11.35
2,Annual Summary kNN,Brazil,37,46,Moments Euclidean (46-d),-0.2405,-1.21,-0.2625,19,38.0,0.41,11.35
2,Annual Summary kNN,France,7,46,Moments Euclidean (46-d),-0.1621,-0.512,-0.2981,19,38.0,0.41,11.35
2,Annual Summary kNN,France,17,46,Moments Euclidean (46-d),-0.0064,0.119,-0.2439,19,38.0,0.41,11.35
