project_security_id,market,vendor_symbol,account_currency,in_primary,legacy_exclusion_reason,exchange_mic,timezone,quote_unit,quote_to_account_multiplier,issuer_id,metadata_verified
Brazil:B3SA3.SA,Brazil,B3SA3.SA,BRL,true,,,,,,,false
Brazil:CIEL3.SA,Brazil,CIEL3.SA,BRL,false,Delisted / insufficient historical volume,,,,,,false
Brazil:EMBR3.SA,Brazil,EMBR3.SA,BRL,false,Historical corporate transaction data gap,,,,,,false
Brazil:EQTL3.SA,Brazil,EQTL3.SA,BRL,true,,,,,,,false
Brazil:FLRY3.SA,Brazil,FLRY3.SA,BRL,true,,,,,,,false
Brazil:ITUB4.SA,Brazil,ITUB4.SA,BRL,true,,,,,,,false
Brazil:JBSS3.SA,Brazil,JBSS3.SA,BRL,false,Corporate restructuring / missing history,,,,,,false
Brazil:KLBN11.SA,Brazil,KLBN11.SA,BRL,true,,,,,,,false
Brazil:LREN3.SA,Brazil,LREN3.SA,BRL,true,,,,,,,false
Brazil:MGLU3.SA,Brazil,MGLU3.SA,BRL,true,,,,,,,false
Brazil:PETR4.SA,Brazil,PETR4.SA,BRL,true,,,,,,,false
Brazil:RADL3.SA,Brazil,RADL3.SA,BRL,true,,,,,,,false
Brazil:RAIL3.SA,Brazil,RAIL3.SA,BRL,true,,,,,,,false
Brazil:RENT3.SA,Brazil,RENT3.SA,BRL,true,,,,,,,false
Brazil:SUZB3.SA,Brazil,SUZB3.SA,BRL,true,,,,,,,false
Brazil:TOTS3.SA,Brazil,TOTS3.SA,BRL,true,,,,,,,false
Brazil:VALE3.SA,Brazil,VALE3.SA,BRL,true,,,,,,,false
Brazil:WEGE3.SA,Brazil,WEGE3.SA,BRL,true,,,,,,,false
China:000333.SZ,China,000333.SZ,CNY,true,,,,,,,false
China:000725.SZ,China,000725.SZ,CNY,true,,,,,,,false
China:000858.SZ,China,000858.SZ,CNY,true,,,,,,,false
China:002230.SZ,China,002230.SZ,CNY,true,,,,,,,false
China:002241.SZ,China,002241.SZ,CNY,true,,,,,,,false
China:002415.SZ,China,002415.SZ,CNY,true,,,,,,,false
China:002475.SZ,China,002475.SZ,CNY,true,,,,,,,false
